,A,q,E0,Gamma,y_offset,R_squared,Q-factor
0.025,0.018689192213990537,-0.6808215248034646,1.2823603025735288,0.0038443460730009974,-0.018765445027339903,0.9907415250355581,333.5704637986675
0.05,0.07140015317750487,-0.6923621380994416,1.283300213954022,0.0038975581951009755,-0.0716950493880926,0.9904079199871577,329.2574862812985
0.075,0.1432123269276701,-0.7106846899519998,1.2848652181415388,0.004246741186020774,-0.1437744118742289,0.9897838702523848,302.5532194829764
0.1,0.22267687339584438,-0.7376951380619895,1.287024570955481,0.00462099441320283,-0.22352421915088908,0.9887247979269067,278.51679873887554
0.125,0.29578740342967635,-0.7743997984742257,1.2897651350210149,0.005105666471159342,-0.2968929989182607,0.987258142696973,252.6144514739813
0.15,0.3565830230162549,-0.8071077419971036,1.2932023740458647,0.005758829323866401,-0.3575643643842653,0.9858738868631625,224.5599411474876
0.175,0.40001233952633136,-0.8485816898771571,1.2972399467686035,0.006520417916933187,-0.4006095899904207,0.9841108787116729,198.95042975692382
0.2,0.42503060260846043,-0.8909475018421129,1.3019389480525332,0.007338460223415925,-0.4280068615147173,0.97758194911002,177.4130959922957
0.225,0.4250438264772769,-0.9226760389334285,1.3073811491326037,0.008039774877790206,-0.4441228710838087,0.9456491924811552,162.61414890412297
0.25,0.40724437677887254,-0.9822456972485454,1.3134083461348203,0.008913366510700937,-0.4362315477985597,0.9205587211343638,147.3526691130684
0.275,0.37368447576923197,-1.069167937082057,1.3200196751479136,0.009970236473145539,-0.4088322928957898,0.9012168555164755,132.3960247786838
0.3,0.3250541882163662,-1.1941185228837279,1.3271527111673047,0.011219536952511067,-0.36481595576632636,0.8832089610265793,118.28943714742809
0.325,0.26742244148963934,-1.3746597501540754,1.3347142943176804,0.012878026086079426,-0.30728172147429333,0.8752306745174845,103.64276989316299
0.35,0.13913010531370504,-0.00010413764994477112,1.4293916433664429,8.443698500259377e-21,-0.14711328306241647,0.0,1.6928501690610273e+20
0.475,0.06796619245433723,-2.999999999999172,1.3937574005069384,0.04319583725849471,-0.07311575855587307,0.8542904608812321,32.26601193458399
0.525,0.08108748122428938,-2.9999999999999982,1.4285543815501465,0.09999999999999845,-0.21227516763114707,0.8805782375766351,14.285543815501686
