,A,q,E0,Gamma,y_offset,R_squared,Q-factor
0.025,0.018586407411071353,-0.6892450203355076,1.282330309153364,0.00381121039761075,-0.01874028747218225,0.9787845215047221,336.4627442130347
0.05,0.07079990205421977,-0.6999424048200825,1.283282501567361,0.003884360219412432,-0.07140430260130742,0.977577366604422,330.3716517211879
0.075,0.14163874641105156,-0.7208579546975992,1.2848315648824762,0.004232712253499506,-0.1429323643387271,0.9757153159717733,303.54805333629946
0.1,0.21982137841305785,-0.7494371202897536,1.2869870658965157,0.0046073539617727715,-0.22201368547338304,0.9725483010788287,279.3332304343558
0.125,0.29214163603687127,-0.7878880675782277,1.2897254307344201,0.0050721713753710965,-0.2954170752195922,0.968222903674086,254.27481354374774
0.15,0.34980083022526665,-0.8256907471527839,1.2931365908927974,0.005739032245075777,-0.3541319156374732,0.9631881593940487,225.32310948458925
0.175,0.39023279107843206,-0.8730991983892743,1.29714553164952,0.006499229940372626,-0.3956880775305733,0.9566490241669033,199.58449594032206
0.2,0.41274047189748,-0.9204937375376768,1.3018187694064949,0.007315677718753725,-0.42196311753073346,0.9414001017585119,177.949168819901
0.225,0.4129744972571325,-0.9516641662899302,1.3072491988934762,0.007997299798320581,-0.43788925488667996,0.8849453164487661,163.46132217876792
0.25,0.39294590089174397,-1.0181639013573025,1.313235465339704,0.008870034410963906,-0.4286417651333541,0.8383314076727819,148.05302939033297
0.325,0.07970833038881593,-1.2152347032205677,1.297846456743721,4.950899647648054e-05,-0.12559640612197845,0.005772515370409459,26214.355957715044
0.35,0.03978214685699328,-0.5126743829300474,1.2978994662515215,7.531636977798477e-05,-0.08018327961122973,0.0005237526547038351,17232.634420344857
0.375,7.316221592542949e-09,-1.3165247983734616,1.2133993135505847,9.602019199291194e-10,-0.03175897423760232,-2.220446049250313e-16,1263691821.8619642
0.4,1.136920955419197e-11,-0.6019550891331683,1.2540862715584309,3.760939919977302e-06,-0.019974073163776897,-1.7763568394002505e-15,333450.22740113316
0.425,1.700219334294651e-10,-0.4754217391466893,1.2591474690609175,2.1764352088935146e-06,-0.004955542527419933,-1.0436096431476471e-14,578536.6198431699
0.45,5.651979049581477e-13,-0.39404381006401773,1.2874735972439146,0.0003040811610923865,0.012213659050963442,-1.0658141036401503e-14,4233.980140758382
0.475,0.00011577527016304121,-1.1404705666083002,1.1634454292991616,1.2125320312389676e-10,0.03145591028508348,-8.659739592076221e-15,9595172740.388151
0.55,0.20616212430592226,-3.860390728229256e-11,1.2164188866450987,0.0444280947009189,-0.08498780544885774,0.03551367549012108,27.379497023984232
0.575,0.002293192226502111,-0.11772201843762124,1.2916111080698016,0.0004937099606846087,0.11111812569918683,9.827440531351428e-07,2616.1333797656703
