,period,thickness,filling,mean_energy,diff_energy
0,350.0,100.0,0.7,1.412793967979332,-0.2627913915779647
1,600.0,100.0,0.7,1.5804173436359943,-0.1567975806910642
2,600.0,100.0,0.75,1.522015371909461,-0.1464381641221819
3,450.0,20.0,0.75,1.6897594302925227,-0.16032350742704615
4,500.0,20.0,0.75,1.5818053906013585,-0.12144493564760084
5,550.0,20.0,0.7,1.5019591668026528,-0.08241350008095227
6,550.0,20.0,0.75,1.5008562226100524,-0.09270118648891423
7,600.0,20.0,0.7,1.4429190437693076,-0.06831984369745236
8,600.0,20.0,0.75,1.4236304299193545,-0.09607762615569881
9,600.0,20.0,0.8,1.4101857983337953,-0.08987444011300627
10,350.0,40.0,0.7,1.691332871714633,-0.21035302178050808
11,450.0,40.0,0.7,1.4913073743566883,-0.21034419998675058
12,450.0,40.0,0.75,1.4543324529903638,-0.1713960178380456
13,500.0,40.0,0.7,1.3952731400323295,-0.17619998910734758
14,500.0,40.0,0.75,1.3662544716837048,-0.14970633302290937
15,550.0,40.0,0.7,1.3153782187278003,-0.15848353704697504
16,550.0,40.0,0.8,1.812198952814359,-0.07612866846810662
17,600.0,40.0,0.75,1.782340772982303,-0.09400651415751637
18,400.0,60.0,0.7,1.4518778385187747,-0.22896972887623823
19,450.0,60.0,0.7,1.349531865286068,-0.21036053018833178
20,500.0,60.0,0.75,1.7917131919253726,-0.09308187099876597
21,550.0,60.0,0.75,1.7315046682605997,-0.1187931125350099
22,600.0,60.0,0.75,1.6613760176104817,-0.12190897324510463
23,350.0,80.0,0.7,1.4739208007124724,-0.2626159689977354
24,400.0,80.0,0.7,1.3609054216742615,-0.24389346511371146
25,600.0,80.0,0.75,1.5910100741100857,-0.15712070608399076
