nan,0.000000000000000000e+00
5.000000000000000000e-01,5.780251229920663203e-01
5.043010752688171783e-01,5.601035617215289752e-01
5.086021505376343566e-01,5.413476148412136313e-01
5.129032258064516459e-01,5.258325849962017795e-01
5.172043010752688241e-01,5.185683551781659073e-01
5.215053763440860024e-01,5.216306184332529794e-01
5.258064516129031807e-01,5.305656760399395377e-01
5.301075268817204700e-01,5.369672560068430300e-01
5.344086021505376483e-01,5.347569393880250432e-01
5.387096774193548265e-01,5.226753107116320907e-01
5.430107526881720048e-01,5.031507686168138482e-01
5.473118279569892941e-01,4.817027073580923968e-01
5.516129032258064724e-01,4.658825341357884509e-01
5.559139784946236507e-01,4.596414381882677480e-01
5.602150537634408289e-01,4.588372420362702986e-01
5.645161290322581182e-01,4.565260925126976010e-01
5.688172043010752965e-01,4.491525335296116528e-01
5.731182795698924748e-01,4.365860760155301223e-01
5.774193548387096531e-01,4.198637340377584515e-01
5.817204301075269424e-01,4.000655453101616410e-01
5.860215053763441206e-01,3.779103412144008689e-01
5.903225806451612989e-01,3.536959421744730880e-01
5.946236559139784772e-01,3.273480730969431929e-01
5.989247311827957665e-01,2.983732677249607557e-01
6.032258064516129448e-01,2.658866496859412232e-01
6.075268817204301230e-01,2.289594922207428829e-01
6.118279569892473013e-01,1.874273084264125311e-01
6.161290322580645906e-01,1.442492857757663727e-01
6.204301075268817689e-01,1.120077969461715922e-01
6.247311827956989472e-01,1.188387680912352945e-01
6.290322580645161255e-01,1.836534185221428972e-01
6.333333333333333037e-01,2.641484200325250331e-01
6.376344086021505930e-01,3.144564999037530728e-01
6.419354838709677713e-01,3.331988601528034777e-01
6.462365591397849496e-01,3.201653050285711011e-01
6.505376344086022389e-01,2.896524154167814946e-01
6.548387096774194172e-01,2.528504287996888866e-01
6.591397849462365954e-01,2.149725591097290389e-01
6.634408602150537737e-01,1.784321717751718994e-01
6.677419354838709520e-01,1.444617777881554432e-01
6.720430107526882413e-01,1.137729508210789664e-01
6.763440860215054196e-01,8.679837183256709776e-02
6.806451612903225978e-01,6.377820962478372713e-02
6.849462365591398871e-01,4.477282489447869523e-02
6.892473118279570654e-01,2.977451009614583144e-02
6.935483870967742437e-01,1.861495520574474663e-02
6.978494623655914220e-01,1.108329487011761906e-02
7.021505376344086002e-01,6.912706503051157386e-03
7.064516129032258895e-01,5.872376956854378181e-03
7.107526881720430678e-01,7.551016223515437734e-03
