nan,0.000000000000000000e+00
5.636363636363636020e-01,3.892051762561874462e-01
5.674242424242423866e-01,3.805333777397126305e-01
5.712121212121211711e-01,3.715074845941348514e-01
5.749999999999999556e-01,3.621895621670866428e-01
5.787878787878787401e-01,3.525847567897595347e-01
5.825757575757575246e-01,3.432261324702536864e-01
5.863636363636363091e-01,3.339030817916383009e-01
5.901515151515150936e-01,3.244726708482027489e-01
5.939393939393938782e-01,3.162141907722989531e-01
5.977272727272726627e-01,3.078680715070060137e-01
6.015151515151514472e-01,2.988235545735326015e-01
6.053030303030302317e-01,2.887867653711835292e-01
6.090909090909091272e-01,2.787378587872875180e-01
6.128787878787878007e-01,2.701373865836502741e-01
6.166666666666666963e-01,2.620211263900424914e-01
6.204545454545454808e-01,2.540407086463951636e-01
6.242424242424242653e-01,2.467457930276322209e-01
6.280303030303030498e-01,2.395232742771881140e-01
6.318181818181818343e-01,2.321808011569140850e-01
6.356060606060606188e-01,2.247158685195956851e-01
6.393939393939394034e-01,2.173480857527243515e-01
6.431818181818181879e-01,2.101237081566346143e-01
6.469696969696969724e-01,2.030163999937484309e-01
6.507575757575757569e-01,1.960825745852035062e-01
6.545454545454545414e-01,1.895017219044365930e-01
6.583333333333333259e-01,1.830379391209422391e-01
6.621212121212121104e-01,1.771264889453431080e-01
6.659090909090908950e-01,1.716695722800304358e-01
6.696969696969696795e-01,1.663204675036887847e-01
6.734848484848484640e-01,1.607462296320585349e-01
6.772727272727272485e-01,1.552537262560289566e-01
6.810606060606060330e-01,1.500279770797933176e-01
6.848484848484848175e-01,1.453137949010496754e-01
6.886363636363636020e-01,1.406979159643115818e-01
6.924242424242423866e-01,1.362526054871147085e-01
6.962121212121211711e-01,1.319421207255264683e-01
6.999999999999999556e-01,1.277208936351541535e-01
7.037878787878788511e-01,1.244300854202236017e-01
7.075757575757575246e-01,1.212138438651785277e-01
7.113636363636364202e-01,1.181229645502904768e-01
7.151515151515150936e-01,1.151961618425766387e-01
7.189393939393939892e-01,1.123343747452519858e-01
7.227272727272727737e-01,1.088173599664752356e-01
7.265151515151515582e-01,1.050908468764418791e-01
7.303030303030303427e-01,1.014628562204135109e-01
7.340909090909091272e-01,9.824466501338491309e-02
7.378787878787879118e-01,9.508603250290514897e-02
7.416666666666666963e-01,9.205554211588218294e-02
7.454545454545454808e-01,8.916872766414563056e-02
7.492424242424242653e-01,8.633348742871538306e-02
7.530303030303030498e-01,8.330197301775799090e-02
7.568181818181818343e-01,8.025861485762619818e-02
7.606060606060606188e-01,7.736435301120592190e-02
7.643939393939394034e-01,7.504584252911772335e-02
7.681818181818181879e-01,7.276596148742286996e-02
7.719696969696969724e-01,7.073847958737455865e-02
7.757575757575757569e-01,6.894278659653585439e-02
7.795454545454545414e-01,6.717794853132730282e-02
