nan,-5.000000000000000000e+00,-4.949748743718592969e+00,-4.899497487437185939e+00,-4.849246231155778908e+00,-4.798994974874371877e+00,-4.748743718592964846e+00,-4.698492462311557816e+00,-4.648241206030150785e+00,-4.597989949748743754e+00,-4.547738693467336724e+00,-4.497487437185929693e+00,-4.447236180904522662e+00,-4.396984924623115631e+00,-4.346733668341708601e+00,-4.296482412060301570e+00,-4.246231155778894539e+00,-4.195979899497487509e+00,-4.145728643216080478e+00,-4.095477386934673447e+00,-4.045226130653266416e+00,-3.994974874371859386e+00,-3.944723618090452355e+00,-3.894472361809045324e+00,-3.844221105527638294e+00,-3.793969849246231263e+00,-3.743718592964824232e+00,-3.693467336683417201e+00,-3.643216080402010171e+00,-3.592964824120603140e+00,-3.542713567839196109e+00,-3.492462311557789079e+00,-3.442211055276382048e+00,-3.391959798994975017e+00,-3.341708542713567986e+00,-3.291457286432160956e+00,-3.241206030150753925e+00,-3.190954773869346894e+00,-3.140703517587939864e+00,-3.090452261306532833e+00,-3.040201005025125802e+00,-2.989949748743718327e+00,-2.939698492462311297e+00,-2.889447236180904266e+00,-2.839195979899497235e+00,-2.788944723618090205e+00,-2.738693467336683174e+00,-2.688442211055276143e+00,-2.638190954773869112e+00,-2.587939698492462082e+00,-2.537688442211055051e+00,-2.487437185929648020e+00,-2.437185929648240990e+00,-2.386934673366833959e+00,-2.336683417085426928e+00,-2.286432160804019897e+00,-2.236180904522612867e+00,-2.185929648241205836e+00,-2.135678391959798805e+00,-2.085427135678391775e+00,-2.035175879396984744e+00,-1.984924623115577713e+00,-1.934673366834170682e+00,-1.884422110552763652e+00,-1.834170854271356621e+00,-1.783919597989949590e+00,-1.733668341708542560e+00,-1.683417085427135529e+00,-1.633165829145728498e+00,-1.582914572864321467e+00,-1.532663316582914437e+00,-1.482412060301507406e+00,-1.432160804020100375e+00,-1.381909547738693345e+00,-1.331658291457286314e+00,-1.281407035175879283e+00,-1.231155778894472252e+00,-1.180904522613065222e+00,-1.130653266331658191e+00,-1.080402010050251160e+00,-1.030150753768844130e+00,-9.798994974874366548e-01,-9.296482412060296241e-01,-8.793969849246225934e-01,-8.291457286432155627e-01,-7.788944723618085320e-01,-7.286432160804015012e-01,-6.783919597989944705e-01,-6.281407035175874398e-01,-5.778894472361804091e-01,-5.276381909547733784e-01,-4.773869346733663477e-01,-4.271356783919593170e-01,-3.768844221105522863e-01,-3.266331658291452555e-01,-2.763819095477382248e-01,-2.261306532663311941e-01,-1.758793969849241634e-01,-1.256281407035171327e-01,-7.537688442211010198e-02,-2.512562814070307127e-02,2.512562814070395945e-02,7.537688442211099016e-02,1.256281407035180209e-01,1.758793969849250516e-01,2.261306532663320823e-01,2.763819095477391130e-01,3.266331658291461437e-01,3.768844221105531744e-01,4.271356783919602051e-01,4.773869346733672359e-01,5.276381909547742666e-01,5.778894472361812973e-01,6.281407035175883280e-01,6.783919597989953587e-01,7.286432160804023894e-01,7.788944723618094201e-01,8.291457286432164508e-01,8.793969849246234816e-01,9.296482412060305123e-01,9.798994974874375430e-01,1.030150753768844574e+00,1.080402010050251604e+00,1.130653266331658635e+00,1.180904522613065666e+00,1.231155778894472697e+00,1.281407035175879727e+00,1.331658291457286758e+00,1.381909547738693789e+00,1.432160804020100819e+00,1.482412060301507850e+00,1.532663316582914881e+00,1.582914572864321912e+00,1.633165829145728942e+00,1.683417085427135973e+00,1.733668341708543004e+00,1.783919597989950034e+00,1.834170854271357065e+00,1.884422110552764096e+00,1.934673366834171127e+00,1.984924623115578157e+00,2.035175879396985188e+00,2.085427135678392219e+00,2.135678391959799249e+00,2.185929648241206280e+00,2.236180904522613311e+00,2.286432160804020342e+00,2.336683417085427372e+00,2.386934673366834403e+00,2.437185929648241434e+00,2.487437185929648464e+00,2.537688442211055495e+00,2.587939698492462526e+00,2.638190954773869557e+00,2.688442211055276587e+00,2.738693467336683618e+00,2.788944723618090649e+00,2.839195979899497679e+00,2.889447236180904710e+00,2.939698492462311741e+00,2.989949748743718771e+00,3.040201005025126690e+00,3.090452261306532833e+00,3.140703517587940752e+00,3.190954773869346894e+00,3.241206030150754813e+00,3.291457286432160956e+00,3.341708542713568875e+00,3.391959798994975017e+00,3.442211055276382936e+00,3.492462311557789079e+00,3.542713567839196998e+00,3.592964824120603140e+00,3.643216080402011059e+00,3.693467336683417201e+00,3.743718592964825120e+00,3.793969849246231263e+00,3.844221105527639182e+00,3.894472361809045324e+00,3.944723618090453243e+00,3.994974874371859386e+00,4.045226130653267305e+00,4.095477386934673447e+00,4.145728643216081366e+00,4.195979899497487509e+00,4.246231155778895427e+00,4.296482412060301570e+00,4.346733668341709489e+00,4.396984924623115631e+00,4.447236180904523550e+00,4.497487437185929693e+00,4.547738693467337612e+00,4.597989949748743754e+00,4.648241206030151673e+00,4.698492462311557816e+00,4.748743718592965735e+00,4.798994974874371877e+00,4.849246231155779796e+00,4.899497487437185939e+00,4.949748743718593857e+00,5.000000000000000000e+00
7.294117647058823151e-01,5.539794810622943322e-01,5.574116076806707731e-01,5.606438765540777691e-01,5.636805233149650984e-01,5.665260675093121145e-01,5.691852782022684965e-01,5.716631405257807108e-01,5.739648233659560006e-01,5.760956483566982422e-01,5.780610603158848892e-01,5.798665992320082285e-01,5.815178738819429816e-01,5.830205371358310185e-01,5.843802629821239769e-01,5.856027252852865628e-01,5.866935782703575075e-01,5.876584387124579312e-01,5.885028697954526322e-01,5.892323665922875042e-01,5.898523431096805991e-01,5.903681208320390450e-01,5.907849186932467855e-01,5.911078444005195554e-01,5.913418870312665554e-01,5.914919108220658694e-01,5.915626500681674393e-01,5.915587050520078050e-01,5.914845389204034243e-01,5.913444754317492835e-01,5.911426974968226888e-01,5.908832464396334139e-01,5.905700219078783286e-01,5.902067823659031820e-01,5.897971461067481602e-01,5.893445927234637338e-01,5.888524649838133840e-01,5.883239710560910218e-01,5.877621870376440461e-01,5.871700597413159750e-01,5.865504096986657867e-01,5.859059343421415544e-01,5.852392113318789502e-01,5.845527019957613701e-01,5.838487548545235883e-01,5.831296092063922298e-01,5.823973987484452053e-01,5.816541552143900118e-01,5.809018120106081984e-01,5.801422078346366584e-01,5.793770902620840602e-01,5.786081192898369085e-01,5.778368708250390950e-01,5.770648401109125247e-01,5.762934450817503995e-01,5.755240296407467815e-01,5.747578668554153003e-01,5.739961620663966979e-01,5.732400559062665879e-01,5.724906272259095985e-01,5.717488959266207038e-01,5.710158256967793333e-01,5.702923266525402601e-01,5.695792578823380969e-01,5.688774298956774667e-01,5.681876069767569648e-01,5.675105094439726328e-01,5.668468158166293236e-01,5.661971648902753840e-01,5.655621577223830521e-01,5.649423595302022205e-01,5.643383015027101379e-01,5.637504825287805721e-01,5.631793708435366419e-01,5.626254055951929178e-01,5.620889983344650176e-01,5.615705344287613698e-01,5.610703744033204154e-01,5.605888552114577372e-01,5.601262914360468637e-01,5.596829764242295946e-01,5.592591833574532822e-01,5.588551662586406232e-01,5.584711609383744557e-01,5.581073858823965006e-01,5.577640430879722278e-01,5.574413188535216612e-01,5.571393844761801661e-01,5.568583969054141658e-01,5.565984993786424750e-01,5.563598219930918631e-01,5.561424822242475585e-01,5.559465853971868876e-01,5.557722251120978951e-01,5.556194836246098889e-01,5.554884321818260862e-01,5.553791313146406727e-01,5.552916310871540695e-01,5.552259713035642141e-01,5.551821816731811188e-01,5.551602819337936312e-01,5.551602819337936312e-01,5.551821816731828951e-01,5.552259713035671007e-01,5.552916310871545136e-01,5.553791313146427822e-01,5.554884321818239767e-01,5.556194836246119984e-01,5.557722251120997825e-01,5.559465853971892191e-01,5.561424822242440058e-01,5.563598219930937505e-01,5.565984993786442514e-01,5.568583969054168303e-01,5.571393844761810543e-01,5.574413188535261021e-01,5.577640430879723388e-01,5.581073858823976108e-01,5.584711609383719022e-01,5.588551662586405122e-01,5.592591833574540594e-01,5.596829764242304828e-01,5.601262914360484180e-01,5.605888552114606238e-01,5.610703744033187501e-01,5.615705344287618139e-01,5.620889983344680152e-01,5.626254055951940281e-01,5.631793708435351986e-01,5.637504825287824595e-01,5.643383015027092497e-01,5.649423595301997780e-01,5.655621577223841623e-01,5.661971648902760501e-01,5.668468158166295456e-01,5.675105094439726328e-01,5.681876069767571868e-01,5.688774298956800202e-01,5.695792578823368757e-01,5.702923266525381507e-01,5.710158256967812207e-01,5.717488959266191495e-01,5.724906272259063789e-01,5.732400559062660328e-01,5.739961620663982522e-01,5.747578668554147452e-01,5.755240296407465594e-01,5.762934450817497334e-01,5.770648401109137460e-01,5.778368708250387620e-01,5.786081192898364645e-01,5.793770902620858365e-01,5.801422078346365474e-01,5.809018120106075322e-01,5.816541552143907889e-01,5.823973987484429848e-01,5.831296092063897873e-01,5.838487548545250316e-01,5.845527019957631465e-01,5.852392113318807265e-01,5.859059343421407773e-01,5.865504096986685623e-01,5.871700597413197498e-01,5.877621870376443791e-01,5.883239710560925761e-01,5.888524649838146052e-01,5.893445927234629567e-01,5.897971461067493815e-01,5.902067823659078449e-01,5.905700219078776625e-01,5.908832464396334139e-01,5.911426974968224668e-01,5.913444754317496166e-01,5.914845389204025361e-01,5.915587050520059176e-01,5.915626500681691047e-01,5.914919108220687560e-01,5.913418870312678877e-01,5.911078444005201105e-01,5.907849186932457863e-01,5.903681208320389340e-01,5.898523431096808212e-01,5.892323665922835074e-01,5.885028697954516330e-01,5.876584387124583753e-01,5.866935782703585067e-01,5.856027252852843423e-01,5.843802629821223116e-01,5.830205371358339050e-01,5.815178738819439808e-01,5.798665992320062301e-01,5.780610603158841121e-01,5.760956483566963549e-01,5.739648233659574439e-01,5.716631405257780463e-01,5.691852782022684965e-01,5.665260675093136689e-01,5.636805233149643213e-01,5.606438765540785463e-01,5.574116076806711062e-01,5.539794810622956645e-01
7.309390087693368177e-01,5.551405982893119484e-01,5.588576003234880796e-01,5.623743615218141922e-01,5.656945545660936325e-01,5.688221654838739871e-01,5.717614605970035013e-01,5.745169540621547499e-01,5.770933762207709483e-01,5.794956429472696291e-01,5.817288261561244234e-01,5.837981256010248421e-01,5.857088420731039191e-01,5.874663520804728201e-01,5.890760840682804922e-01,5.905434962171888236e-01,5.918740558390682693e-01,5.930732203712153483e-01,5.941464199553452286e-01,5.950990415741146400e-01,5.959364147067008899e-01,5.966637984552521923e-01,5.972863700862457437e-01,5.978092149245434195e-01,5.982373175329925852e-01,5.985755541072237396e-01,5.988286860127040034e-01,5.990013543901099302e-01,5.990980757547768043e-01,5.991232385163384189e-01,5.990811003461151696e-01,5.989757863213190925e-01,5.988112877775844112e-01,5.985914618038089552e-01,5.983200313162533313e-01,5.980005856519627905e-01,5.976365816247722895e-01,5.972313449905949367e-01,5.967880722720124709e-01,5.963098328956125682e-01,5.957995715988183560e-01,5.952601110663034989e-01,5.946941547591764188e-01,5.941042899032571434e-01,5.934929906056598536e-01,5.928626210717306000e-01,5.922154388970050087e-01,5.915535984113590162e-01,5.908791540549297450e-01,5.901940637674552015e-01,5.895001923748348638e-01,5.887993149585744046e-01,5.880931201954788801e-01,5.873832136566233819e-01,5.866711210560640044e-01,5.859582914411839427e-01,5.852461003176089305e-01,5.845358527030117823e-01,5.838287861048302441e-01,5.831260734181478167e-01,5.824288257404742764e-01,5.817380951011694723e-01,5.810548771037508109e-01,5.803801134798993733e-01,5.797146945545855745e-01,5.790594616220309243e-01,5.784152092327974337e-01,5.777826873924170048e-01,5.771626036724497588e-01,5.765556252349762767e-01,5.759623807718146082e-01,5.753834623598930165e-01,5.748194272342701527e-01,5.742707994806455218e-01,5.737380716489349775e-01,5.732217062898660176e-01,5.727221374164088719e-01,5.722397718919732812e-01,5.717749907472008397e-01,5.713281504273139966e-01,5.708995839718543630e-01,5.704896021286562924e-01,5.700984944038411939e-01,5.697265300495092388e-01,5.693739589907996779e-01,5.690410126938820756e-01,5.687279049781128748e-01,5.684348327836218351e-01,5.681619768789456515e-01,5.679095024732244701e-01,5.676775598185247462e-01,5.674662847706325453e-01,5.672757992862923482e-01,5.671062118703747990e-01,5.669576179760674739e-01,5.668301003587339348e-01,5.667237293840249324e-01,5.666385632908210734e-01,5.665746484095072200e-01,5.665320193360421364e-01,5.665106990621904259e-01,5.665106990621873173e-01,5.665320193360429135e-01,5.665746484095104396e-01,5.666385632908220726e-01,5.667237293840255985e-01,5.668301003587320475e-01,5.669576179760658086e-01,5.671062118703757982e-01,5.672757992862954568e-01,5.674662847706342106e-01,5.676775598185255234e-01,5.679095024732269126e-01,5.681619768789472058e-01,5.684348327836183934e-01,5.687279049781105433e-01,5.690410126938799662e-01,5.693739589907990117e-01,5.697265300495093499e-01,5.700984944038426372e-01,5.704896021286557373e-01,5.708995839718525867e-01,5.713281504273136635e-01,5.717749907472017279e-01,5.722397718919740583e-01,5.727221374164113143e-01,5.732217062898662396e-01,5.737380716489358656e-01,5.742707994806451888e-01,5.748194272342708189e-01,5.753834623598919062e-01,5.759623807718176058e-01,5.765556252349786082e-01,5.771626036724492037e-01,5.777826873924191142e-01,5.784152092327937700e-01,5.790594616220292590e-01,5.797146945545826879e-01,5.803801134798973749e-01,5.810548771037479243e-01,5.817380951011690282e-01,5.824288257404728331e-01,5.831260734181471506e-01,5.838287861048313543e-01,5.845358527030111162e-01,5.852461003176103738e-01,5.859582914411832766e-01,5.866711210560647816e-01,5.873832136566207174e-01,5.880931201954809895e-01,5.887993149585767361e-01,5.895001923748348638e-01,5.901940637674549794e-01,5.908791540549288568e-01,5.915535984113607926e-01,5.922154388970027883e-01,5.928626210717310441e-01,5.934929906056584104e-01,5.941042899032568103e-01,5.946941547591749755e-01,5.952601110663021666e-01,5.957995715988182450e-01,5.963098328956105698e-01,5.967880722720135811e-01,5.972313449905942706e-01,5.976365816247742879e-01,5.980005856519635676e-01,5.983200313162568840e-01,5.985914618038095103e-01,5.988112877775846332e-01,5.989757863213177602e-01,5.990811003461131712e-01,5.991232385163414165e-01,5.990980757547788027e-01,5.990013543901120396e-01,5.988286860127040034e-01,5.985755541072248498e-01,5.982373175329915860e-01,5.978092149245424203e-01,5.972863700862459657e-01,5.966637984552498608e-01,5.959364147067015560e-01,5.950990415741151951e-01,5.941464199553441183e-01,5.930732203712180128e-01,5.918740558390674922e-01,5.905434962171890456e-01,5.890760840682777166e-01,5.874663520804712658e-01,5.857088420731030309e-01,5.837981256010250641e-01,5.817288261561238683e-01,5.794956429472672976e-01,5.770933762207716144e-01,5.745169540621549720e-01,5.717614605970046116e-01,5.688221654838747643e-01,5.656945545660927444e-01,5.623743615218124159e-01,5.588576003234900780e-01,5.551405982893123925e-01
7.324662528327913202e-01,5.556788197345831071e-01,5.596699999995610186e-01,5.634614566706246386e-01,5.670562973293126197e-01,5.704579677408307958e-01,5.736702204939225780e-01,5.766970838986344994e-01,5.795428313729722447e-01,5.822119515237711429e-01,5.847091191014071043e-01,5.870391669823763481e-01,5.892070593088041264e-01,5.912178658901690032e-01,5.930767379495961444e-01,5.947888852759739553e-01,5.963595548234035260e-01,5.977940107814787574e-01,5.990975161237456215e-01,6.002753156271947166e-01,6.013326203430039429e-01,6.022745934877180574e-01,6.031063377148092597e-01,6.038328837187990628e-01,6.044591801177947588e-01,6.049900845553847217e-01,6.054303559592237871e-01,6.057846478908702759e-01,6.060575029200767627e-01,6.062533479558994687e-01,6.063764904671190559e-01,6.064311155251925767e-01,6.064212836042673915e-01,6.063509290745062730e-01,6.062238593272122333e-01,6.060437544725560954e-01,6.058141675535171355e-01,6.055385252224045889e-01,6.052201288293015402e-01,6.048621558748363825e-01,6.044676617826806320e-01,6.040395819501909180e-01,6.035807340386890596e-01,6.030938204676454806e-01,6.025814310800030604e-01,6.020460459485045268e-01,6.014900382955348235e-01,6.009156775014916629e-01,6.003251321789694339e-01,5.997204732923699932e-01,5.991036773045618213e-01,5.984766293341542420e-01,5.978411263087904937e-01,5.971988801015855053e-01,5.965515206392385528e-01,5.959005989719949881e-01,5.952475902967471200e-01,5.945938969258980356e-01,5.939408511956261183e-01,5.932897183082672665e-01,5.926416991043130800e-01,5.919979327604678598e-01,5.913594994108135605e-01,5.907274226889257518e-01,5.901026721891836635e-01,5.894861658462383636e-01,5.888787722318867823e-01,5.882813127690998956e-01,5.876945638632714575e-01,5.871192589510830784e-01,5.865560904675722886e-01,5.860057117323121956e-01,5.854687387557349076e-01,5.849457519667378147e-01,5.844372978630640869e-01,5.839438905856794149e-01,5.834660134187994451e-01,5.830041202171035719e-01,5.825586367617119343e-01,5.821299620465733016e-01,5.817184694968747793e-01,5.813245081211492193e-01,5.809484035986202111e-01,5.805904593034175720e-01,5.802509572670984106e-01,5.799301590809993190e-01,5.796283067396968969e-01,5.793456234271461280e-01,5.790823142513709110e-01,5.788385669387261512e-01,5.786145524414333385e-01,5.784104254789463884e-01,5.782263250771035867e-01,5.780623750446097775e-01,5.779186843915121718e-01,5.777953476990775883e-01,5.776924454422667221e-01,5.776100442650835554e-01,5.775481972093711169e-01,5.775069438972630920e-01,5.774863106678094216e-01,5.774863106678091995e-01,5.775069438972670888e-01,5.775481972093687855e-01,5.776100442650848876e-01,5.776924454422656119e-01,5.777953476990784765e-01,5.779186843915121718e-01,5.780623750446111098e-01,5.782263250771050300e-01,5.784104254789459443e-01,5.786145524414335606e-01,5.788385669387264842e-01,5.790823142513713551e-01,5.793456234271432415e-01,5.796283067396919009e-01,5.799301590809975426e-01,5.802509572670982996e-01,5.805904593034190153e-01,5.809484035986225425e-01,5.813245081211468879e-01,5.817184694968745573e-01,5.821299620465745228e-01,5.825586367617133776e-01,5.830041202171009074e-01,5.834660134187972247e-01,5.839438905856787487e-01,5.844372978630624216e-01,5.849457519667355943e-01,5.854687387557311329e-01,5.860057117323143050e-01,5.865560904675714005e-01,5.871192589510800808e-01,5.876945638632704583e-01,5.882813127690990074e-01,5.888787722318878926e-01,5.894861658462400289e-01,5.901026721891842186e-01,5.907274226889255297e-01,5.913594994108151148e-01,5.919979327604638630e-01,5.926416991043165217e-01,5.932897183082653791e-01,5.939408511956244530e-01,5.945938969258959261e-01,5.952475902967457877e-01,5.959005989719948770e-01,5.965515206392378866e-01,5.971988801015848392e-01,5.978411263087909377e-01,5.984766293341536869e-01,5.991036773045640418e-01,5.997204732923709924e-01,6.003251321789705441e-01,6.009156775014923291e-01,6.014900382955347125e-01,6.020460459485016402e-01,6.025814310800013951e-01,6.030938204676459247e-01,6.035807340386873943e-01,6.040395819501886976e-01,6.044676617826795217e-01,6.048621558748382698e-01,6.052201288293034276e-01,6.055385252224045889e-01,6.058141675535195780e-01,6.060437544725575387e-01,6.062238593272132325e-01,6.063509290745054958e-01,6.064212836042676136e-01,6.064311155251923546e-01,6.063764904671166134e-01,6.062533479558975813e-01,6.060575029200755415e-01,6.057846478908711640e-01,6.054303559592261186e-01,6.049900845553846107e-01,6.044591801177915391e-01,6.038328837187997289e-01,6.031063377148092597e-01,6.022745934877178353e-01,6.013326203430046091e-01,6.002753156271958268e-01,5.990975161237449553e-01,5.977940107814799786e-01,5.963595548234046362e-01,5.947888852759722900e-01,5.930767379495951452e-01,5.912178658901678929e-01,5.892070593088041264e-01,5.870391669823762371e-01,5.847091191014079925e-01,5.822119515237709209e-01,5.795428313729700243e-01,5.766970838986354986e-01,5.736702204939229111e-01,5.704579677408309069e-01,5.670562973293139519e-01,5.634614566706236394e-01,5.596699999995613517e-01,5.556788197345843283e-01
7.339934968962459338e-01,5.556813491852603537e-01,5.599364684335127462e-01,5.639932038717584417e-01,5.678541007901251048e-01,5.715220630343705865e-01,5.750003236224575653e-01,5.782924153061979045e-01,5.814021413165260110e-01,5.843335465087654557e-01,5.870908891013103537e-01,5.896786131778882778e-01,5.921013221004938210e-01,5.943637529574588019e-01,5.964707521492680353e-01,5.984272521939490996e-01,6.002382498142335709e-01,6.019087853505157293e-01,6.034439235269127844e-01,6.048487355825316047e-01,6.061282827664391526e-01,6.072876011828421960e-01,6.083316879624649509e-01,6.092654887271283792e-01,6.100938863069325091e-01,6.108216906632862875e-01,6.114536299659206753e-01,6.119943427683097736e-01,6.124483712230233134e-01,6.128201552766849858e-01,6.131140277832775043e-01,6.133342104740797662e-01,6.134848107230528313e-01,6.135698190472013147e-01,6.135931072829158284e-01,6.135584273810017475e-01,6.134694107650796591e-01,6.133295682004186178e-01,6.131422901226459832e-01,6.129108473784258271e-01,6.126383923328418968e-01,6.123279603009395000e-01,6.119824712636803277e-01,6.116047318311363945e-01,6.111974374185731307e-01,6.107631746035319109e-01,6.103044236346293339e-01,6.098235610651774330e-01,6.093228624870155041e-01,6.088045053422360686e-01,6.082705717924389299e-01,6.077230516272827954e-01,6.071638451957742655e-01,6.065947663456160432e-01,6.060175453574230264e-01,6.054338318622265458e-01,6.048451977319292405e-01,6.042531399337707221e-01,6.036590833409871681e-01,6.030643834928558489e-01,6.024703292984425751e-01,6.018781456790854856e-01,6.012889961455679666e-01,6.007039853066586943e-01,6.001241613062378022e-01,5.995505181870126599e-01,5.989839981791199586e-01,5.984254939125644990e-01,5.978758505527561606e-01,5.973358678588135406e-01,5.968063021645721999e-01,5.962878682825496490e-01,5.957812413313696709e-01,5.952870584872972382e-01,5.948059206607195781e-01,5.943383940986430858e-01,5.938850119141888539e-01,5.934462755444298576e-01,5.930226561377313077e-01,5.926145958719550855e-01,5.922225092049170359e-01,5.918467840584185069e-01,5.914877829372999773e-01,5.911458439848246149e-01,5.908212819758159595e-01,5.905143892487855206e-01,5.902254365783901058e-01,5.899546739893183345e-01,5.897023315127036813e-01,5.894686198872761684e-01,5.892537312157738461e-01,5.890578395727523731e-01,5.888811015056694131e-01,5.887236565179969627e-01,5.885856275259583326e-01,5.884671212464679391e-01,5.883682285321101268e-01,5.882890246575139814e-01,5.882295695575020522e-01,5.881899080172190430e-01,5.881700698144610717e-01,5.881700698144596284e-01,5.881899080172159344e-01,5.882295695575028294e-01,5.882890246575150917e-01,5.883682285321114591e-01,5.884671212464659407e-01,5.885856275259586656e-01,5.887236565179982950e-01,5.888811015056714115e-01,5.890578395727519290e-01,5.892537312157742901e-01,5.894686198872756133e-01,5.897023315127042364e-01,5.899546739893185565e-01,5.902254365783917711e-01,5.905143892487871859e-01,5.908212819758168477e-01,5.911458439848302771e-01,5.914877829372998663e-01,5.918467840584176187e-01,5.922225092049157036e-01,5.926145958719543083e-01,5.930226561377293093e-01,5.934462755444303017e-01,5.938850119141857453e-01,5.943383940986410874e-01,5.948059206607195781e-01,5.952870584872989035e-01,5.957812413313702260e-01,5.962878682825490939e-01,5.968063021645712007e-01,5.973358678588144288e-01,5.978758505527551614e-01,5.984254939125622785e-01,5.989839981791208467e-01,5.995505181870112166e-01,6.001241613062368030e-01,6.007039853066548085e-01,6.012889961455694099e-01,6.018781456790840423e-01,6.024703292984442404e-01,6.030643834928547387e-01,6.036590833409904988e-01,6.042531399337720543e-01,6.048451977319283523e-01,6.054338318622243253e-01,6.060175453574225823e-01,6.065947663456140448e-01,6.071638451957748206e-01,6.077230516272837946e-01,6.082705717924397071e-01,6.088045053422346253e-01,6.093228624870135057e-01,6.098235610651769889e-01,6.103044236346288898e-01,6.107631746035320219e-01,6.111974374185729086e-01,6.116047318311358394e-01,6.119824712636806607e-01,6.123279603009398331e-01,6.126383923328432290e-01,6.129108473784267153e-01,6.131422901226462052e-01,6.133295682004185068e-01,6.134694107650794370e-01,6.135584273810023026e-01,6.135931072829144961e-01,6.135698190472012037e-01,6.134848107230539416e-01,6.133342104740778788e-01,6.131140277832758390e-01,6.128201552766880944e-01,6.124483712230237575e-01,6.119943427683105508e-01,6.114536299659195651e-01,6.108216906632858434e-01,6.100938863069342855e-01,6.092654887271288233e-01,6.083316879624655060e-01,6.072876011828417520e-01,6.061282827664395967e-01,6.048487355825317158e-01,6.034439235269143387e-01,6.019087853505130647e-01,6.002382498142323497e-01,5.984272521939490996e-01,5.964707521492665920e-01,5.943637529574573586e-01,5.921013221004935989e-01,5.896786131778875006e-01,5.870908891013093545e-01,5.843335465087633462e-01,5.814021413165253449e-01,5.782924153061992367e-01,5.750003236224572323e-01,5.715220630343706976e-01,5.678541007901238835e-01,5.639932038717603291e-01,5.599364684335124132e-01,5.556813491852603537e-01
