0.30	3.13	2.49
0.30	3.13	2.48
0.30	3.14	2.46
0.30	3.14	2.45
0.30	3.15	2.43
0.31	3.15	2.42
0.31	3.15	2.41
0.31	3.15	2.39
0.31	3.16	2.38
0.31	3.16	2.37
0.31	3.16	2.35
0.31	3.15	2.34
0.31	3.15	2.33
0.31	3.15	2.32
0.31	3.15	2.31
0.32	3.14	2.30
0.32	3.14	2.29
0.32	3.13	2.28
0.32	3.13	2.27
0.32	3.12	2.27
0.32	3.11	2.26
0.32	3.10	2.25
0.32	3.10	2.25
0.32	3.09	2.25
0.32	3.08	2.25
0.33	3.07	2.24
0.33	3.06	2.25
0.33	3.05	2.25
0.33	3.05	2.25
0.33	3.04	2.26
0.33	3.03	2.26
0.33	3.03	2.27
0.33	3.02	2.28
0.33	3.02	2.29
0.33	3.03	2.30
0.34	3.04	2.31
0.34	3.05	2.31
0.34	3.06	2.31
0.34	3.08	2.30
0.34	3.08	2.28
0.34	3.08	2.26
0.34	3.06	2.24
0.34	3.04	2.23
0.34	3.02	2.22
0.34	2.99	2.22
0.35	2.97	2.23
0.35	2.95	2.23
0.35	2.93	2.25
0.35	2.91	2.26
0.35	2.90	2.27
0.35	2.88	2.29
0.35	2.87	2.31
0.35	2.85	2.33
0.35	2.84	2.35
0.35	2.83	2.37
0.36	2.82	2.39
0.36	2.81	2.41
0.36	2.81	2.44
0.36	2.80	2.46
0.36	2.80	2.49
0.36	2.79	2.51
0.36	2.79	2.54
0.36	2.79	2.57
0.36	2.79	2.60
0.36	2.79	2.62
0.37	2.79	2.65
0.37	2.80	2.68
0.37	2.80	2.71
0.37	2.81	2.74
0.37	2.81	2.77
0.37	2.82	2.80
0.37	2.83	2.83
0.37	2.85	2.86
0.37	2.86	2.90
0.37	2.87	2.93
0.38	2.89	2.96
0.38	2.91	2.99
0.38	2.93	3.02
0.38	2.95	3.05
0.38	2.97	3.08
0.38	2.99	3.11
0.38	3.02	3.14
0.38	3.05	3.17
0.38	3.07	3.19
0.38	3.10	3.22
0.39	3.14	3.24
0.39	3.17	3.27
0.39	3.20	3.29
0.39	3.24	3.31
0.39	3.28	3.33
0.39	3.31	3.35
0.39	3.35	3.37
0.39	3.39	3.39
0.39	3.43	3.40
0.39	3.47	3.41
0.40	3.52	3.42
0.40	3.56	3.43
0.40	3.60	3.44
0.40	3.64	3.44
0.40	3.69	3.45
0.40	3.73	3.45
0.40	3.77	3.45
0.40	3.81	3.44
0.40	3.85	3.44
0.40	3.89	3.43
0.41	3.93	3.42
0.41	3.97	3.41
0.41	4.00	3.40
0.41	4.04	3.39
0.41	4.07	3.37
0.41	4.10	3.36
0.41	4.13	3.34
0.41	4.16	3.33
0.41	4.19	3.31
0.41	4.21	3.30
0.42	4.24	3.28
0.42	4.26	3.26
