nan,-5.000000000000000000e+00,-4.898989898989898784e+00,-4.797979797979797567e+00,-4.696969696969697239e+00,-4.595959595959596022e+00,-4.494949494949494806e+00,-4.393939393939393590e+00,-4.292929292929293261e+00,-4.191919191919192045e+00,-4.090909090909090828e+00,-3.989898989898989612e+00,-3.888888888888888840e+00,-3.787878787878788067e+00,-3.686868686868686851e+00,-3.585858585858585634e+00,-3.484848484848484862e+00,-3.383838383838384090e+00,-3.282828282828282873e+00,-3.181818181818181657e+00,-3.080808080808080884e+00,-2.979797979797979668e+00,-2.878787878787878896e+00,-2.777777777777777679e+00,-2.676767676767676907e+00,-2.575757575757575690e+00,-2.474747474747474918e+00,-2.373737373737373701e+00,-2.272727272727272929e+00,-2.171717171717171713e+00,-2.070707070707070940e+00,-1.969696969696969724e+00,-1.868686868686868952e+00,-1.767676767676767735e+00,-1.666666666666666519e+00,-1.565656565656565746e+00,-1.464646464646464530e+00,-1.363636363636363757e+00,-1.262626262626262541e+00,-1.161616161616161769e+00,-1.060606060606060552e+00,-9.595959595959593358e-01,-8.585858585858590075e-01,-7.575757575757577911e-01,-6.565656565656565746e-01,-5.555555555555553582e-01,-4.545454545454550299e-01,-3.535353535353538135e-01,-2.525252525252525970e-01,-1.515151515151513806e-01,-5.050505050505016413e-02,5.050505050505016413e-02,1.515151515151513806e-01,2.525252525252525970e-01,3.535353535353538135e-01,4.545454545454541417e-01,5.555555555555553582e-01,6.565656565656565746e-01,7.575757575757577911e-01,8.585858585858581193e-01,9.595959595959593358e-01,1.060606060606060552e+00,1.161616161616161769e+00,1.262626262626262097e+00,1.363636363636363313e+00,1.464646464646464530e+00,1.565656565656565746e+00,1.666666666666666963e+00,1.767676767676767291e+00,1.868686868686868507e+00,1.969696969696969724e+00,2.070707070707070940e+00,2.171717171717171269e+00,2.272727272727272485e+00,2.373737373737373701e+00,2.474747474747474918e+00,2.575757575757575246e+00,2.676767676767676463e+00,2.777777777777777679e+00,2.878787878787878896e+00,2.979797979797979224e+00,3.080808080808081328e+00,3.181818181818181657e+00,3.282828282828281985e+00,3.383838383838384090e+00,3.484848484848484418e+00,3.585858585858586522e+00,3.686868686868686851e+00,3.787878787878787179e+00,3.888888888888889284e+00,3.989898989898989612e+00,4.090909090909089940e+00,4.191919191919192045e+00,4.292929292929292373e+00,4.393939393939394478e+00,4.494949494949494806e+00,4.595959595959595134e+00,4.696969696969697239e+00,4.797979797979797567e+00,4.898989898989899672e+00,5.000000000000000000e+00
5.636363636363636020e-01,1.068842848337911017e-01,1.053582982707653298e-01,1.039577355715717993e-01,1.026751631148781485e-01,1.015034446169096605e-01,1.004357378818396679e-01,9.946549057118757309e-02,9.858643512858944469e-02,9.779258298660602200e-02,9.707821817247208607e-02,9.643789042007648582e-02,9.586640788606511088e-02,9.535882955887509116e-02,9.491045744086050451e-02,9.451682857542988148e-02,9.417370698337715340e-02,9.387707556536672993e-02,9.362312802079762741e-02,9.340826082707112676e-02,9.322906531757593762e-02,9.308231989149805263e-02,9.296498238382623625e-02,9.287418261962875066e-02,9.280721517282101984e-02,9.276153234620515553e-02,9.273473738644637254e-02,9.272457794496660743e-02,9.272893979331008063e-02,9.274584079942417569e-02,9.277342516949740880e-02,9.280995795839738771e-02,9.285381985041651909e-02,9.290350221088120031e-02,9.295760240824321730e-02,9.301481940548093907e-02,9.307394961901398200e-02,9.313388304283198860e-02,9.319359963518511480e-02,9.325216596491434085e-02,9.330873211431639502e-02,9.336252883540629988e-02,9.341286495637905751e-02,9.345912503518140346e-02,9.350076725720177229e-02,9.353732157425362348e-02,9.356838808226081161e-02,9.359363563528798335e-02,9.361280069383391689e-02,9.362568640565005484e-02,9.363216191761720986e-02,9.363216191761745966e-02,9.362568640564999933e-02,9.361280069383423608e-02,9.359363563528805274e-02,9.356838808226126958e-02,9.353732157425331817e-02,9.350076725720110615e-02,9.345912503518127856e-02,9.341286495637862730e-02,9.336252883540639702e-02,9.330873211431674197e-02,9.325216596491431309e-02,9.319359963518543399e-02,9.313388304283178043e-02,9.307394961901385710e-02,9.301481940548120275e-02,9.295760240824338383e-02,9.290350221088110316e-02,9.285381985041686603e-02,9.280995795839734608e-02,9.277342516949738105e-02,9.274584079942380099e-02,9.272893979331033043e-02,9.272457794496676009e-02,9.273473738644601172e-02,9.276153234620516941e-02,9.280721517282088107e-02,9.287418261962827881e-02,9.296498238382619461e-02,9.308231989149814978e-02,9.322906531757607640e-02,9.340826082707164024e-02,9.362312802079748864e-02,9.387707556536649400e-02,9.417370698337751422e-02,9.451682857542992311e-02,9.491045744086076819e-02,9.535882955887502177e-02,9.586640788606487495e-02,9.643789042007688828e-02,9.707821817247216933e-02,9.779258298660639670e-02,9.858643512858962510e-02,9.946549057118748982e-02,1.004357378818398067e-01,1.015034446169099519e-01,1.026751631148782040e-01,1.039577355715718826e-01,1.053582982707651633e-01,1.068842848337909074e-01
5.683807774716865824e-01,1.142715058458586425e-01,1.123548134383042796e-01,1.105743390439031248e-01,1.089226979299408871e-01,1.073927697533318959e-01,1.059776985077702793e-01,1.046708913370384408e-01,1.034660163441996072e-01,1.023569995195089261e-01,1.013380209025202122e-01,1.004035100862431529e-01,9.954814116350951814e-02,9.876682720798395099e-02,9.805471437471385832e-02,9.740717569775096674e-02,9.681980465527267876e-02,9.628840856590557828e-02,9.580900187351970576e-02,9.537779937175847045e-02,9.499120941392905082e-02,9.464582714863889468e-02,9.433842781675946809e-02,9.406596014079347812e-02,9.382553983373055628e-02,9.361444325069541439e-02,9.343010120341332936e-02,9.327009295442519055e-02,9.313214040533653038e-02,9.301410249091339455e-02,9.291396978872713819e-02,9.282985935213933226e-02,9.276000977275317139e-02,9.270277647702823698e-02,9.265662726049274378e-02,9.262013806191726761e-02,9.259198897892349789e-02,9.257096052572985623e-02,9.255593013311495809e-02,9.254586889019231211e-02,9.253983852718017378e-02,9.253698863806532338e-02,9.253655414184674965e-02,9.253785298092075118e-02,9.254028405509058530e-02,9.254332538969639588e-02,9.254653253639393007e-02,9.254953720521114091e-02,9.255204612663865682e-02,9.255384014266579418e-02,9.255477352587079820e-02,9.255477352587125617e-02,9.255384014266580806e-02,9.255204612663869845e-02,9.254953720521130744e-02,9.254653253639379129e-02,9.254332538969652078e-02,9.254028405509082122e-02,9.253785298092070954e-02,9.253655414184691619e-02,9.253698863806568420e-02,9.253983852718018766e-02,9.254586889019211782e-02,9.255593013311497197e-02,9.257096052573017542e-02,9.259198897892374769e-02,9.262013806191723986e-02,9.265662726049253561e-02,9.270277647702841739e-02,9.276000977275278281e-02,9.282985935213858286e-02,9.291396978872694390e-02,9.301410249091306148e-02,9.313214040533661364e-02,9.327009295442524606e-02,9.343010120341317670e-02,9.361444325069559480e-02,9.382553983373044526e-02,9.406596014079375567e-02,9.433842781675935707e-02,9.464582714863921387e-02,9.499120941392852346e-02,9.537779937175865086e-02,9.580900187351958086e-02,9.628840856590545338e-02,9.681980465527238733e-02,9.740717569775080020e-02,9.805471437471392770e-02,9.876682720798407589e-02,9.954814116350993447e-02,1.004035100862432639e-01,1.013380209025198792e-01,1.023569995195086346e-01,1.034660163441996350e-01,1.046708913370384686e-01,1.059776985077702793e-01,1.073927697533320486e-01,1.089226979299409981e-01,1.105743390439032359e-01,1.123548134383040714e-01,1.142715058458585314e-01
5.731251913070094517e-01,1.228348817321666953e-01,1.205444755535653167e-01,1.183994736397737529e-01,1.163926335685950275e-01,1.145169423994427671e-01,1.127656194888285585e-01,1.111321180790623003e-01,1.096101257775311255e-01,1.081935640400122633e-01,1.068765867667864911e-01,1.056535781149831044e-01,1.045191496248970009e-01,1.034681367520044054e-01,1.024955948902896291e-01,1.015967949663309777e-01,1.007672186775029483e-01,1.000025534416778689e-01,9.929868712002561104e-02,9.865170256896702017e-02,9.805787207204390288e-02,9.751365169746180339e-02,9.701567562237091435e-02,9.656075046054930777e-02,9.614584962607040930e-02,9.576810776177532847e-02,9.542481525788483465e-02,9.511341288292382568e-02,9.483148654622705620e-02,9.457676220868138639e-02,9.434710095598329571e-02,9.414049424658026133e-02,9.395505934454533026e-02,9.378903494596715906e-02,9.364077700593628761e-02,9.350875477190218055e-02,9.339154702803846575e-02,9.328783855426077409e-02,9.319641680270054906e-02,9.311616879371167887e-02,9.304607823289602619e-02,9.298522285012868205e-02,9.293277196114893557e-02,9.288798425199899789e-02,9.285020578630437393e-02,9.281886823523743946e-02,9.279348732989353699e-02,9.277366153571084406e-02,9.275907094856043755e-02,9.274947641214557892e-02,9.274471885635890422e-02,9.274471885635957036e-02,9.274947641214545402e-02,9.275907094856018775e-02,9.277366153571060814e-02,9.279348732989343984e-02,9.281886823523709251e-02,9.285020578630431842e-02,9.288798425199965014e-02,9.293277196114889394e-02,9.298522285012844613e-02,9.304607823289628987e-02,9.311616879371194255e-02,9.319641680270036865e-02,9.328783855426117655e-02,9.339154702803861841e-02,9.350875477190220830e-02,9.364077700593648190e-02,9.378903494596753376e-02,9.395505934454535801e-02,9.414049424657974785e-02,9.434710095598276836e-02,9.457676220868135863e-02,9.483148654622720886e-02,9.511341288292365914e-02,9.542481525788504282e-02,9.576810776177485662e-02,9.614584962607018725e-02,9.656075046054929389e-02,9.701567562237109477e-02,9.751365169746173400e-02,9.805787207204401390e-02,9.865170256896699241e-02,9.929868712002555553e-02,1.000025534416780076e-01,1.007672186775034062e-01,1.015967949663306863e-01,1.024955948902895320e-01,1.034681367520042528e-01,1.045191496248969593e-01,1.056535781149831182e-01,1.068765867667866576e-01,1.081935640400127074e-01,1.096101257775312920e-01,1.111321180790627861e-01,1.127656194888286278e-01,1.145169423994429336e-01,1.163926335685954161e-01,1.183994736397739195e-01,1.205444755535652057e-01,1.228348817321666397e-01
5.778696051423324320e-01,1.323618616399477033e-01,1.297184567405098021e-01,1.272280511347921583e-01,1.248836228513273000e-01,1.226783440149670362e-01,1.206055861231447590e-01,1.186589240594186495e-01,1.168321389449783754e-01,1.151192199278601586e-01,1.135143650076464866e-01,1.120119809905101849e-01,1.106066826659141411e-01,1.092932912921605049e-01,1.080668324735208630e-01,1.069225335069340088e-01,1.058558202713843488e-01,1.048623137281303463e-01,1.039378260950225979e-01,1.030783567533191669e-01,1.022800879406605690e-01,1.015393802793312233e-01,1.008527681845562685e-01,1.002169551934337377e-01,9.962880925120193298e-02,9.908535798783528470e-02,9.858378401455346329e-02,9.812142026662862282e-02,9.769574541591777295e-02,9.730437937386113290e-02,9.694507890316746146e-02,9.661573335418942310e-02,9.631436053988971790e-02,9.603910276148563963e-02,9.578822299517535110e-02,9.556010124884165013e-02,9.535323109634002980e-02,9.516621639576644531e-02,9.499776819707929365e-02,9.484670184355632749e-02,9.471193427075985660e-02,9.459248150601622107e-02,9.448745637083635907e-02,9.439606638820736972e-02,9.431761189627765885e-02,9.425148436960117948e-02,9.419716494885395364e-02,9.415422317967304944e-02,9.412231596112381748e-02,9.410118670413632203e-02,9.409066470015420292e-02,9.409066470015431394e-02,9.410118670413651631e-02,9.412231596112385912e-02,9.415422317967295229e-02,9.419716494885388425e-02,9.425148436960147091e-02,9.431761189627750619e-02,9.439606638820756401e-02,9.448745637083590110e-02,9.459248150601660965e-02,9.471193427076007865e-02,9.484670184355657729e-02,9.499776819707915487e-02,9.516621639576634817e-02,9.535323109634022409e-02,9.556010124884158075e-02,9.578822299517487926e-02,9.603910276148536207e-02,9.631436053988920443e-02,9.661573335418936759e-02,9.694507890316775289e-02,9.730437937386091085e-02,9.769574541591785621e-02,9.812142026662840077e-02,9.858378401455346329e-02,9.908535798783514592e-02,9.962880925120218278e-02,1.002169551934336683e-01,1.008527681845560464e-01,1.015393802793312927e-01,1.022800879406601665e-01,1.030783567533187506e-01,1.039378260950225841e-01,1.048623137281304019e-01,1.058558202713843904e-01,1.069225335069337451e-01,1.080668324735208491e-01,1.092932912921606298e-01,1.106066826659143493e-01,1.120119809905102265e-01,1.135143650076459870e-01,1.151192199278602696e-01,1.168321389449783337e-01,1.186589240594192046e-01,1.206055861231449672e-01,1.226783440149671472e-01,1.248836228513271751e-01,1.272280511347921583e-01,1.297184567405097189e-01,1.323618616399476755e-01
5.826140189776553013e-01,1.426692106234386803e-01,1.396964135600634871e-01,1.368826869195509388e-01,1.342212908520105941e-01,1.317056450234151410e-01,1.293293359024661471e-01,1.270861227996427090e-01,1.249699427395542101e-01,1.229749142496321945e-01,1.210953401487994963e-01,1.193257094192538420e-01,1.176606982430864340e-01,1.160951702833059179e-01,1.146241762861033298e-01,1.132429530779845428e-01,1.119469220278895283e-01,1.107316870406374332e-01,1.095930321441405814e-01,1.085269187288404880e-01,1.075294824938396038e-01,1.065970301502516399e-01,1.057260359284170753e-01,1.049131379319101776e-01,1.041551343776282168e-01,1.034489797578423270e-01,1.027917809568052315e-01,1.021807933514451983e-01,1.016134169227805722e-01,1.010871924020060597e-01,1.005997974727008276e-01,1.001490430482776667e-01,9.973286964170982594e-02,9.934934384257509965e-02,9.899665491471408563e-02,9.867311152617698478e-02,9.837713862166035106e-02,9.810727444634026462e-02,9.786216772880738934e-02,9.764057502976955516e-02,9.744135826224441244e-02,9.726348238812583535e-02,9.710601329528550929e-02,9.696811585872117112e-02,9.684905218869463428e-02,9.674818006831803485e-02,9.666495158261655118e-02,9.659891194071322518e-02,9.654969849247473090e-02,9.651703994066049286e-02,9.650075574937044820e-02,9.650075574937051759e-02,9.651703994066022918e-02,9.654969849247449498e-02,9.659891194071296150e-02,9.666495158261678711e-02,9.674818006831836792e-02,9.684905218869481469e-02,9.696811585872090744e-02,9.710601329528512071e-02,9.726348238812564106e-02,9.744135826224468999e-02,9.764057502976949965e-02,9.786216772880770853e-02,9.810727444634004257e-02,9.837713862166054535e-02,9.867311152617688763e-02,9.899665491471387746e-02,9.934934384257514128e-02,9.973286964170989533e-02,1.001490430482779304e-01,1.005997974727008415e-01,1.010871924020061846e-01,1.016134169227798228e-01,1.021807933514448236e-01,1.027917809568050789e-01,1.034489797578422021e-01,1.041551343776285082e-01,1.049131379319107604e-01,1.057260359284173251e-01,1.065970301502512235e-01,1.075294824938397287e-01,1.085269187288403492e-01,1.095930321441404426e-01,1.107316870406372805e-01,1.119469220278891258e-01,1.132429530779843346e-01,1.146241762861033714e-01,1.160951702833061816e-01,1.176606982430862536e-01,1.193257094192541473e-01,1.210953401487995518e-01,1.229749142496320419e-01,1.249699427395541962e-01,1.270861227996428477e-01,1.293293359024662303e-01,1.317056450234153353e-01,1.342212908520109271e-01,1.368826869195510498e-01,1.396964135600635981e-01,1.426692106234386803e-01
5.873584328129782817e-01,1.535735062670273987e-01,1.502968642611374472e-01,1.471839424245210137e-01,1.442283286991690727e-01,1.414237377846590538e-01,1.387640199740213520e-01,1.362431687995545593e-01,1.338553275486485949e-01,1.315947947141386520e-01,1.294560284466877431e-01,1.274336500784346571e-01,1.255224467877797956e-01,1.237173734749385662e-01,1.220135539168597100e-01,1.204062812684799366e-01,1.188910179751661855e-01,1.174633951586632336e-01,1.161192115360805965e-01,1.148544319284292570e-01,1.136651854120679789e-01,1.125477631632060133e-01,1.114986160423540595e-01,1.105143519623907750e-01,1.095917330807455736e-01,1.087276728530967573e-01,1.079192329830285513e-01,1.071636202991914505e-01,1.064581835888375322e-01,1.058004104139787516e-01,1.051879239340226951e-01,1.046184797564422564e-01,1.040899628349421790e-01,1.036003844325771028e-01,1.031478791655005139e-01,1.027307021413075977e-01,1.023472262044180792e-01,1.019959392995365283e-01,1.016754419629276318e-01,1.013844449501046519e-01,1.011217670074569669e-01,1.008863327943918947e-01,1.006771709617107768e-01,1.004934123911677829e-01,1.003342886004671280e-01,1.001991303173161152e-01,1.000873662256241692e-01,9.999852188639413164e-02,9.993221883543629280e-02,9.988817385958471962e-02,9.986619845274759266e-02,9.986619845274767593e-02,9.988817385958451145e-02,9.993221883543645934e-02,9.999852188639392347e-02,1.000873662256237667e-01,1.001991303173161568e-01,1.003342886004669476e-01,1.004934123911680049e-01,1.006771709617107352e-01,1.008863327943918670e-01,1.011217670074571195e-01,1.013844449501040551e-01,1.016754419629274653e-01,1.019959392995364034e-01,1.023472262044180514e-01,1.027307021413071259e-01,1.031478791655001670e-01,1.036003844325769779e-01,1.040899628349421513e-01,1.046184797564424784e-01,1.051879239340224731e-01,1.058004104139788765e-01,1.064581835888376571e-01,1.071636202991915754e-01,1.079192329830288843e-01,1.087276728530969516e-01,1.095917330807453099e-01,1.105143519623913856e-01,1.114986160423541428e-01,1.125477631632060133e-01,1.136651854120684230e-01,1.148544319284293402e-01,1.161192115360810129e-01,1.174633951586631364e-01,1.188910179751663104e-01,1.204062812684800060e-01,1.220135539168594602e-01,1.237173734749387188e-01,1.255224467877794903e-01,1.274336500784345183e-01,1.294560284466878541e-01,1.315947947141385965e-01,1.338553275486487615e-01,1.362431687995546425e-01,1.387640199740215186e-01,1.414237377846588040e-01,1.442283286991692115e-01,1.471839424245211247e-01,1.502968642611378081e-01,1.535735062670274265e-01
5.921028466483011510e-01,1.649333921241637468e-01,1.613791899016116249e-01,1.579920640185836500e-01,1.547659618094366918e-01,1.516949271211149863e-01,1.487731102521348547e-01,1.459947767936151386e-01,1.433543154109195861e-01,1.408462446111551081e-01,1.384652185468431274e-01,1.362060319098254979e-01,1.340636239719963374e-01,1.320330818309617404e-01,1.301096429193337456e-01,1.282886968362627889e-01,1.265657865590402165e-01,1.249366090913518607e-01,1.233970156030867321e-01,1.219430111145967111e-01,1.205707537760506570e-01,1.192765537901109840e-01,1.180568720235800201e-01,1.169083183510557511e-01,1.158276497709827269e-01,1.148117683318153337e-01,1.138577189034161857e-01,1.129626868262437606e-01,1.121239954684160600e-01,1.113391037183466825e-01,1.106056034383831044e-01,1.099212169026980018e-01,1.092837942406484075e-01,1.086913109048887743e-01,1.081418651817139254e-01,1.076336757594313909e-01,1.071650793689903763e-01,1.067345285096453905e-01,1.063405892710967554e-01,1.059819392623052997e-01,1.056573656560543667e-01,1.053657633572810115e-01,1.051061333022547672e-01,1.048775808948005928e-01,1.046793145849711504e-01,1.045106445948359580e-01,1.043709817953897279e-01,1.042598367379684171e-01,1.041768188429761516e-01,1.041216357482135785e-01,1.040940928186015885e-01,1.040940928186016579e-01,1.041216357482137173e-01,1.041768188429758324e-01,1.042598367379684032e-01,1.043709817953897973e-01,1.045106445948357776e-01,1.046793145849715112e-01,1.048775808948010091e-01,1.051061333022546423e-01,1.053657633572812197e-01,1.056573656560548247e-01,1.059819392623052442e-01,1.063405892710966583e-01,1.067345285096450713e-01,1.071650793689903486e-01,1.076336757594313492e-01,1.081418651817138699e-01,1.086913109048882192e-01,1.092837942406483381e-01,1.099212169026975716e-01,1.106056034383832987e-01,1.113391037183465160e-01,1.121239954684163515e-01,1.129626868262442185e-01,1.138577189034161441e-01,1.148117683318153615e-01,1.158276497709826575e-01,1.169083183510556817e-01,1.180568720235800895e-01,1.192765537901114004e-01,1.205707537760503378e-01,1.219430111145964751e-01,1.233970156030869264e-01,1.249366090913514166e-01,1.265657865590402442e-01,1.282886968362628444e-01,1.301096429193335791e-01,1.320330818309618237e-01,1.340636239719965594e-01,1.362060319098255257e-01,1.384652185468431274e-01,1.408462446111553301e-01,1.433543154109192252e-01,1.459947767936151941e-01,1.487731102521349102e-01,1.516949271211147920e-01,1.547659618094366363e-01,1.579920640185835945e-01,1.613791899016120135e-01,1.649333921241633583e-01
5.968472604836241313e-01,1.765969456603628251e-01,1.727919391711965069e-01,1.691562139056831671e-01,1.656840946123671610e-01,1.623699753397743750e-01,1.592083300637330834e-01,1.561937223345392922e-01,1.533208139615049870e-01,1.505843727609393889e-01,1.479792794004843592e-01,1.455005333782196653e-01,1.431432581791278191e-01,1.409027056546297563e-01,1.387742596729762690e-01,1.367534390895993879e-01,1.348359000870400781e-01,1.330174379340255397e-01,1.312939882126914481e-01,1.296616275619330849e-01,1.281165739835353756e-01,1.266551867561150346e-01,1.252739660000618260e-01,1.239695519347136371e-01,1.227387238668738029e-01,1.215783989476563604e-01,1.204856307324262271e-01,1.194576075764332695e-01,1.184916508965596499e-01,1.175852133274728900e-01,1.167358767984174317e-01,1.159413505548698847e-01,1.151994691473802596e-01,1.145081904080828133e-01,1.138655934336258446e-01,1.132698765916331507e-01,1.127193555662556051e-01,1.122124614569318807e-01,1.117477389431026230e-01,1.113238445263751986e-01,1.109395448604451329e-01,1.105937151779754629e-01,1.102853378226443110e-01,1.100135008935939906e-01,1.097773970086549505e-01,1.095763221919071329e-01,1.094096748903620187e-01,1.092769551238617354e-01,1.091777637716085381e-01,1.091118019981195258e-01,1.090788708208083185e-01,1.090788708208083740e-01,1.091118019981195397e-01,1.091777637716080107e-01,1.092769551238617493e-01,1.094096748903621574e-01,1.095763221919069663e-01,1.097773970086552003e-01,1.100135008935940739e-01,1.102853378226446995e-01,1.105937151779757127e-01,1.109395448604457712e-01,1.113238445263754067e-01,1.117477389431025953e-01,1.122124614569320611e-01,1.127193555662557717e-01,1.132698765916332340e-01,1.138655934336256503e-01,1.145081904080825497e-01,1.151994691473802040e-01,1.159413505548701762e-01,1.167358767984177509e-01,1.175852133274733341e-01,1.184916508965597332e-01,1.194576075764332279e-01,1.204856307324257969e-01,1.215783989476566518e-01,1.227387238668737612e-01,1.239695519347135400e-01,1.252739660000616873e-01,1.266551867561150901e-01,1.281165739835354589e-01,1.296616275619330572e-01,1.312939882126915869e-01,1.330174379340255675e-01,1.348359000870400226e-01,1.367534390895993879e-01,1.387742596729761579e-01,1.409027056546300616e-01,1.431432581791278746e-01,1.455005333782193044e-01,1.479792794004844425e-01,1.505843727609395555e-01,1.533208139615051535e-01,1.561937223345392645e-01,1.592083300637328058e-01,1.623699753397741252e-01,1.656840946123670222e-01,1.691562139056833891e-01,1.727919391711967012e-01,1.765969456603630194e-01
6.015916743189470006e-01,1.884157350204432591e-01,1.843863859549823292e-01,1.805275118861495165e-01,1.768338221296567592e-01,1.733000714006913690e-01,1.699210707552758493e-01,1.666916976874781575e-01,1.636069053800008333e-01,1.606617311156997296e-01,1.578513038659593304e-01,1.551708510787822570e-01,1.526157046950809004e-01,1.501813064261528219e-01,1.478632123287260403e-01,1.456570967165208563e-01,1.435587554489985984e-01,1.415641086390261316e-01,1.396692028216345582e-01,1.378702126260121785e-01,1.361634419924159511e-01,1.345453249748464475e-01,1.330124261692593457e-01,1.315614408057367013e-01,1.301891945415541707e-01,1.288926429904254656e-01,1.276688710215053146e-01,1.265150918599059204e-01,1.254286460187114816e-01,1.244070000905941054e-01,1.234477454253739420e-01,1.225485967180466734e-01,1.217073905300812831e-01,1.209220837651023561e-01,1.201907521184345240e-01,1.195115885184573346e-01,1.188829015761928842e-01,1.183031140581828067e-01,1.177707613963318994e-01,1.172844902471625872e-01,1.168430571117104189e-01,1.164453270261888718e-01,1.160902723324836044e-01,1.157769715365511431e-01,1.155046082618701730e-01,1.152724703042076054e-01,1.150799487931508935e-01,1.149265374650570160e-01,1.148118320513518142e-01,1.147355297853850931e-01,1.146974290303838240e-01,1.146974290303838656e-01,1.147355297853850514e-01,1.148118320513516893e-01,1.149265374650568217e-01,1.150799487931506576e-01,1.152724703042076748e-01,1.155046082618700481e-01,1.157769715365510182e-01,1.160902723324836600e-01,1.164453270261890661e-01,1.168430571117105438e-01,1.172844902471625039e-01,1.177707613963321492e-01,1.183031140581827650e-01,1.188829015761931340e-01,1.195115885184571819e-01,1.201907521184346767e-01,1.209220837651020508e-01,1.217073905300811998e-01,1.225485967180464236e-01,1.234477454253740114e-01,1.244070000905943690e-01,1.254286460187110930e-01,1.265150918599057817e-01,1.276688710215052314e-01,1.288926429904257431e-01,1.301891945415540042e-01,1.315614408057370066e-01,1.330124261692588739e-01,1.345453249748463365e-01,1.361634419924161177e-01,1.378702126260123451e-01,1.396692028216348080e-01,1.415641086390260206e-01,1.435587554489983486e-01,1.456570967165208008e-01,1.478632123287259570e-01,1.501813064261527941e-01,1.526157046950808727e-01,1.551708510787820072e-01,1.578513038659594414e-01,1.606617311156998962e-01,1.636069053800010553e-01,1.666916976874783796e-01,1.699210707552760435e-01,1.733000714006910359e-01,1.768338221296568147e-01,1.805275118861495720e-01,1.843863859549825512e-01,1.884157350204433146e-01
