6.686919210056316842e-01,6.869026935343151008e-01,7.046780111289590032e-01,7.219881108755459298e-01,7.388092935460708333e-01,7.551226074565789981e-01,7.709125235076839111e-01,7.861657222489508712e-01,8.008700941835643627e-01,8.150140259015370425e-01,8.285860103709759006e-01,8.415745838490801267e-01,8.539685585431280312e-01,8.657574930467274443e-01,8.769323244060851508e-01,8.874860777827938696e-01,8.974145719156401135e-01,9.067170493746693483e-01,9.153966772571682231e-01,9.234608830381408895e-01,9.309215077633837820e-01,9.377947699482687138e-01,9.441010318937534951e-01,9.498643340972856564e-01,9.551115876211365707e-01,9.598711232337376886e-01,9.641697939905895520e-01,9.680263080460356218e-01,9.714326047164598688e-01,9.742805858797251028e-01,9.754611575900808962e-01,9.824297531905666903e-01,9.878434956149373392e-01,9.921565884933786217e-01,9.955378285388155613e-01,9.979958606119507802e-01,9.994953256562262300e-01,1.000000000000000000e+00,9.994953256562262300e-01,9.979958606119466724e-01,9.955378285388136739e-01,9.921565884933812862e-01,9.878434956149356738e-01,9.824297531905685776e-01,9.754611575900803411e-01,9.742805858797267682e-01,9.714326047164577593e-01,9.680263080460353997e-01,9.641697939905922166e-01,9.598711232337395760e-01,9.551115876211323519e-01,9.498643340972843241e-01,9.441010318937483881e-01,9.377947699482689359e-01,9.309215077633881119e-01,9.234608830381367817e-01,9.153966772571667798e-01,9.067170493746704585e-01,8.974145719156393364e-01,8.874860777827935365e-01,8.769323244060808209e-01,8.657574930467274443e-01,8.539685585431250336e-01,8.415745838490797937e-01,8.285860103709747904e-01,8.150140259015400401e-01,8.008700941835651399e-01,7.861657222489495389e-01,7.709125235076839111e-01,7.551226074565776658e-01,7.388092935460712773e-01,7.219881108755440424e-01,7.046780111289598914e-01,6.869026935343174323e-01,6.686919210056354590e-01
6.068582091207641582e-01,6.266228891725671435e-01,6.462966423248269754e-01,6.658015764862611485e-01,6.850603443040582663e-01,7.039969545905343518e-01,7.225376992974336110e-01,7.406121858270553471e-01,7.581544407736073854e-01,7.751040310905645825e-01,7.914071355834204624e-01,8.070174955732815070e-01,8.218971789030820041e-01,8.360171048388919113e-01,8.493572962516974245e-01,8.619068464645772698e-01,8.736636079631298069e-01,8.846336258583220591e-01,8.948303482540821419e-01,9.042736467142505896e-01,9.129886710109226255e-01,9.210045401773460094e-01,9.283528295258619556e-01,9.350657328151372738e-01,9.411736107803023721e-01,9.467012284180034154e-01,9.516607697225308860e-01,9.560350529833980815e-01,9.597176418477232351e-01,9.619368065860731676e-01,9.680482626890629660e-01,9.733402683242142750e-01,9.773794742768481258e-01,9.803924487370820895e-01,9.825116066232607581e-01,9.838733906020388220e-01,9.846171346309494643e-01,9.848513005957829636e-01,9.846171346309432471e-01,9.838733906020382669e-01,9.825116066232615353e-01,9.803924487370788698e-01,9.773794742768453503e-01,9.733402683242144970e-01,9.680482626890621889e-01,9.619368065860723904e-01,9.597176418477179061e-01,9.560350529833964162e-01,9.516607697225367701e-01,9.467012284179988635e-01,9.411736107803004847e-01,9.350657328151381620e-01,9.283528295258622887e-01,9.210045401773452323e-01,9.129886710109234027e-01,9.042736467142562518e-01,8.948303482540871379e-01,8.846336258583175072e-01,8.736636079631311391e-01,8.619068464645786021e-01,8.493572962516972025e-01,8.360171048388879145e-01,8.218971789030798947e-01,8.070174955732785094e-01,7.914071355834229049e-01,7.751040310905642494e-01,7.581544407736056090e-01,7.406121858270551250e-01,7.225376992974315016e-01,7.039969545905356840e-01,6.850603443040557128e-01,6.658015764862608155e-01,6.462966423248279746e-01,6.266228891725671435e-01,6.068582091207657125e-01
5.565806063155855909e-01,5.753458338172042774e-01,5.941681172281508827e-01,6.129607590941041906e-01,6.316360143676180705e-01,6.501068488871309947e-01,6.682887151066150278e-01,6.861012668183233965e-01,7.034699338629238907e-01,7.203272850505185732e-01,7.366141216969990246e-01,7.522802631800207251e-01,7.672850069965035935e-01,7.815972661512518016e-01,7.951954038935123981e-01,8.080667980487830082e-01,8.202071733399458608e-01,8.316197395213547061e-01,8.423141653557995046e-01,8.523054024750920110e-01,8.616123465275908888e-01,8.702562796639560228e-01,8.782589631367589966e-01,8.856401002723861549e-01,8.924135405770797780e-01,8.985805776583807303e-01,9.041148530443376963e-01,9.089123098581369797e-01,9.124000642719366505e-01,9.183909248503274725e-01,9.243504782745137760e-01,9.289715862953926706e-01,9.324891495064446811e-01,9.350485953777247783e-01,9.368020309468492179e-01,9.379077350569114957e-01,9.385062880054004797e-01,9.386943509640727212e-01,9.385062880053957057e-01,9.379077350569147153e-01,9.368020309468473306e-01,9.350485953777244452e-01,9.324891495064376867e-01,9.289715862953945580e-01,9.243504782745146642e-01,9.183909248503282496e-01,9.124000642719419796e-01,9.089123098581405324e-01,9.041148530443388065e-01,8.985805776583809523e-01,8.924135405770781126e-01,8.856401002723831573e-01,8.782589631367559990e-01,8.702562796639579101e-01,8.616123465275880022e-01,8.523054024750906787e-01,8.423141653558005038e-01,8.316197395213541510e-01,8.202071733399443065e-01,8.080667980487824531e-01,7.951954038935133973e-01,7.815972661512533559e-01,7.672850069965014841e-01,7.522802631800202811e-01,7.366141216969990246e-01,7.203272850505191283e-01,7.034699338629238907e-01,6.861012668183218421e-01,6.682887151066125853e-01,6.501068488871301065e-01,6.316360143676207350e-01,6.129607590941049677e-01,5.941681172281511047e-01,5.753458338172064979e-01,5.565806063155853689e-01
5.081918485474735681e-01,5.242693230115715863e-01,5.404519323466985270e-01,5.566796654653567433e-01,5.728901386193565592e-01,5.890198239786715861e-01,6.050053264128462116e-01,6.207846509231107479e-01,6.362984039383009494e-01,6.514908772975098739e-01,6.663109731456676732e-01,6.807129396409551392e-01,6.946568996194169010e-01,7.081091655702554943e-01,7.210423430601092809e-01,7.334352299736960346e-01,7.452725196323490842e-01,7.565443109676669442e-01,7.672454169776949939e-01,7.773744410540450733e-01,7.869325541085669951e-01,7.959218413880374543e-01,8.043429632320769906e-01,8.121915847070739769e-01,8.194521915165772219e-01,8.260847884824538134e-01,8.319835943959351665e-01,8.367065052187552254e-01,8.427712971466796432e-01,8.496080048929161022e-01,8.550497484383575708e-01,8.593505036809309106e-01,8.626555893708909295e-01,8.651049711244563900e-01,8.668370118983075301e-01,8.679758033632498648e-01,8.686182764414897006e-01,8.688255050462471152e-01,8.686182764414904778e-01,8.679758033632493097e-01,8.668370118983050876e-01,8.651049711244579443e-01,8.626555893708888201e-01,8.593505036809312436e-01,8.550497484383556834e-01,8.496080048929161022e-01,8.427712971466785330e-01,8.367065052187554475e-01,8.319835943959338342e-01,8.260847884824553677e-01,8.194521915165753345e-01,8.121915847070720895e-01,8.043429632320769906e-01,7.959218413880365661e-01,7.869325541085664399e-01,7.773744410540450733e-01,7.672454169776928845e-01,7.565443109676688316e-01,7.452725196323469747e-01,7.334352299736949243e-01,7.210423430601103911e-01,7.081091655702561605e-01,6.946568996194186774e-01,6.807129396409578037e-01,6.663109731456678952e-01,6.514908772975069873e-01,6.362984039382980628e-01,6.207846509231083054e-01,6.050053264128484320e-01,5.890198239786703649e-01,5.728901386193571144e-01,5.566796654653541898e-01,5.404519323466968617e-01,5.242693230115711422e-01,5.081918485474755665e-01
4.575247238827362395e-01,4.702006195655338838e-01,4.830078627950694647e-01,4.959287063933845441e-01,5.089395320926347610e-01,5.220111548089754194e-01,5.351094673648444378e-01,5.481963510681611140e-01,5.612307646619293378e-01,5.741699220256516467e-01,5.869704753187020563e-01,5.995896320574690685e-01,6.119861489136768640e-01,6.241211591257644908e-01,6.359588021066288066e-01,6.474666313205347246e-01,6.586157782699891827e-01,6.693808449597915544e-01,6.797394825124859485e-01,6.896715862060412983e-01,6.991579888596970438e-01,7.081784410657988582e-01,7.167084467897077982e-01,7.247138681902174362e-01,7.321397582473091470e-01,7.388775212940773551e-01,7.445793560799713884e-01,7.505961089849155776e-01,7.581895311724661246e-01,7.643585621821561427e-01,7.693931170867642777e-01,7.734370680731106340e-01,7.766148464313302746e-01,7.790417297630191085e-01,7.808190974429466413e-01,7.820290253542763192e-01,7.827310841057636415e-01,7.829611240855963716e-01,7.827310841057670832e-01,7.820290253542746539e-01,7.808190974429417563e-01,7.790417297630217730e-01,7.766148464313281652e-01,7.734370680731058600e-01,7.693931170867621683e-01,7.643585621821563647e-01,7.581895311724664577e-01,7.505961089849148005e-01,7.445793560799743860e-01,7.388775212940777992e-01,7.321397582473077037e-01,7.247138681902172141e-01,7.167084467897083533e-01,7.081784410657997464e-01,6.991579888596977099e-01,6.896715862060408542e-01,6.797394825124859485e-01,6.693808449597904442e-01,6.586157782699899599e-01,6.474666313205328372e-01,6.359588021066276964e-01,6.241211591257650459e-01,6.119861489136767529e-01,5.995896320574701788e-01,5.869704753187009461e-01,5.741699220256508696e-01,5.612307646619233426e-01,5.481963510681595597e-01,5.351094673648437716e-01,5.220111548089740872e-01,5.089395320926348720e-01,4.959287063933848771e-01,4.830078627950687986e-01,4.702006195655339393e-01,4.575247238827344631e-01
4.044798677166726586e-01,4.136808872858073194e-01,4.230302169840914894e-01,4.325536121418843138e-01,4.422664728674685630e-01,4.521733029259695780e-01,4.622679111270853736e-01,4.725342187399274585e-01,4.829475108491015911e-01,4.934759663271225394e-01,5.040823139630937755e-01,5.147254845636612952e-01,5.253621545461627518e-01,5.359481009640664206e-01,5.464393077152815970e-01,5.567927757850137382e-01,5.669669956098802865e-01,5.769220364149568736e-01,5.866191947632919401e-01,5.960201185464447660e-01,6.050852661361008078e-01,6.137714076498379523e-01,6.220273754997855953e-01,6.297853660059077319e-01,6.369359923246672439e-01,6.432028093948999325e-01,6.488682907671933231e-01,6.569295980371043786e-01,6.635614112400339826e-01,6.691131461232587840e-01,6.737254918557010752e-01,6.775060089982748446e-01,6.805475931113503796e-01,6.829296203173114144e-01,6.847168495413241684e-01,6.859589001848014345e-01,6.866905038328197097e-01,6.869321222579184427e-01,6.866905038328233735e-01,6.859589001848015455e-01,6.847168495413278322e-01,6.829296203173134128e-01,6.805475931113510457e-01,6.775060089982781752e-01,6.737254918557032957e-01,6.691131461232555644e-01,6.635614112400358700e-01,6.569295980371038235e-01,6.488682907671935451e-01,6.432028093949012648e-01,6.369359923246661337e-01,6.297853660059038461e-01,6.220273754997817095e-01,6.137714076498371751e-01,6.050852661361001417e-01,5.960201185464428786e-01,5.866191947632926063e-01,5.769220364149518776e-01,5.669669956098807306e-01,5.567927757850140713e-01,5.464393077152815970e-01,5.359481009640653104e-01,5.253621545461615305e-01,5.147254845636615173e-01,5.040823139630948857e-01,4.934759663271241492e-01,4.829475108491012025e-01,4.725342187399259042e-01,4.622679111270852070e-01,4.521733029259676906e-01,4.422664728674689516e-01,4.325536121418840918e-01,4.230302169840918780e-01,4.136808872858077080e-01,4.044798677166714929e-01
3.502186729941222376e-01,3.562793838960273130e-01,3.624512624311685971e-01,3.687984869868179971e-01,3.753734050991135995e-01,3.822145846275999959e-01,3.893459358551731864e-01,3.967767986502646060e-01,4.045028197732229436e-01,4.125074097542041351e-01,4.207635623132756075e-01,4.292358344893178468e-01,4.378823139191692082e-01,4.466564332384647673e-01,4.555085243465659683e-01,4.643870334605226802e-01,4.732393395499856492e-01,4.820121326257358896e-01,4.906513102850451613e-01,4.991013237280687576e-01,5.073037874406484127e-01,5.151947511790598844e-01,5.226985180362406780e-01,5.297092763388919767e-01,5.360066675433543537e-01,5.408678278133253192e-01,5.490359468941377052e-01,5.557606289871662719e-01,5.615088747765272226e-01,5.664156005779631409e-01,5.705696064217515850e-01,5.740414605299500872e-01,5.768891625082311903e-01,5.791596798449744066e-01,5.808897863330279021e-01,5.821068832696925099e-01,5.828298204083198764e-01,5.830695955654875418e-01,5.828298204083188772e-01,5.821068832696916218e-01,5.808897863330276801e-01,5.791596798449736294e-01,5.768891625082323005e-01,5.740414605299503092e-01,5.705696064217495866e-01,5.664156005779632519e-01,5.615088747765257793e-01,5.557606289871664940e-01,5.490359468941377052e-01,5.408678278133254302e-01,5.360066675433536876e-01,5.297092763388909775e-01,5.226985180362397898e-01,5.151947511790586631e-01,5.073037874406483017e-01,4.991013237280665926e-01,4.906513102850435515e-01,4.820121326257327254e-01,4.732393395499840394e-01,4.643870334605202932e-01,4.555085243465641365e-01,4.466564332384629910e-01,4.378823139191668767e-01,4.292358344893144606e-01,4.207635623132719993e-01,4.125074097542014706e-01,4.045028197732234432e-01,3.967767986502633848e-01,3.893459358551728533e-01,3.822145846275997183e-01,3.753734050991115456e-01,3.687984869868159432e-01,3.624512624311638231e-01,3.562793838960270909e-01,3.502186729941230148e-01
2.967355480859101835e-01,3.006189207696505772e-01,3.044312113850513035e-01,3.082504937393558131e-01,3.121524096465436715e-01,3.162061996263918484e-01,3.204713050195639457e-01,3.249947727172744494e-01,3.298095904539690149e-01,3.349339714651702882e-01,3.403715101218270922e-01,3.461120577052734237e-01,3.521331257252069968e-01,3.584016124328479602e-01,3.648756607003273977e-01,3.715064832025944397e-01,3.782400223920438509e-01,3.850183326995256783e-01,3.917805547657700616e-01,3.984632392382349009e-01,4.049994120516266505e-01,4.113145950006029117e-01,4.173133737312299529e-01,4.228226482778268402e-01,4.268086497320699446e-01,4.338487390700715984e-01,4.400653774648959904e-01,4.454821859562548281e-01,4.502222599765842714e-01,4.543503935995931164e-01,4.579116823795767455e-01,4.609406221464616427e-01,4.634642296369076986e-01,4.655035259217748522e-01,4.670744893334572989e-01,4.681887804404480380e-01,4.688543098727127045e-01,4.690756540587145973e-01,4.688543098727107616e-01,4.681887804404485376e-01,4.670744893334598524e-01,4.655035259217744636e-01,4.634642296369054781e-01,4.609406221464607545e-01,4.579116823795769120e-01,4.543503935995920617e-01,4.502222599765846045e-01,4.454821859562541619e-01,4.400653774648951577e-01,4.338487390700706547e-01,4.268086497320690564e-01,4.228226482778263962e-01,4.173133737312301195e-01,4.113145950006067975e-01,4.049994120516273721e-01,3.984632392382344568e-01,3.917805547657701726e-01,3.850183326995241795e-01,3.782400223920415749e-01,3.715064832025924413e-01,3.648756607003240116e-01,3.584016124328486264e-01,3.521331257252093283e-01,3.461120577052756997e-01,3.403715101218268146e-01,3.349339714651696776e-01,3.298095904539660173e-01,3.249947727172708412e-01,3.204713050195637236e-01,3.162061996263918484e-01,3.121524096465422282e-01,3.082504937393562017e-01,3.044312113850511370e-01,3.006189207696510768e-01,2.967355480859105166e-01
2.443271607882293583e-01,2.478519266210338079e-01,2.511192319464365386e-01,2.541498410687209053e-01,2.569730620138364063e-01,2.596255679940333572e-01,2.621496556666253475e-01,2.645910334045580292e-01,2.669962945776580554e-01,2.694102774080772145e-01,2.718735354797799930e-01,2.744201366470013781e-01,2.770759730543200239e-01,2.798577056798637330e-01,2.827723897663889652e-01,2.858177382385468368e-01,2.889828797809617100e-01,2.922493486076908620e-01,2.955918750995079614e-01,2.989782364053593100e-01,3.023666248698929637e-01,3.056961017656049107e-01,3.088502439436204283e-01,3.113748577762884273e-01,3.151985933731190626e-01,3.196022433863122125e-01,3.235222565495242120e-01,3.270584405536026695e-01,3.302424294608667377e-01,3.330871234953071691e-01,3.355979266893779345e-01,3.377766637717021792e-01,3.396233114806322950e-01,3.411369115137058428e-01,3.423161218976746856e-01,3.431595805917427300e-01,3.436661532457506163e-01,3.438350967716983231e-01,3.436661532457512824e-01,3.431595805917432296e-01,3.423161218976744080e-01,3.411369115137056207e-01,3.396233114806310738e-01,3.377766637717012355e-01,3.355979266893784896e-01,3.330871234953077797e-01,3.302424294608665711e-01,3.270584405536018924e-01,3.235222565495251557e-01,3.196022433863132672e-01,3.151985933731196732e-01,3.113748577762884828e-01,3.088502439436210389e-01,3.056961017656051882e-01,3.023666248698927417e-01,2.989782364053581443e-01,2.955918750995083499e-01,2.922493486076914171e-01,2.889828797809620986e-01,2.858177382385481691e-01,2.827723897663913522e-01,2.798577056798651763e-01,2.770759730543205235e-01,2.744201366470001568e-01,2.718735354797792159e-01,2.694102774080768814e-01,2.669962945776581664e-01,2.645910334045572521e-01,2.621496556666257916e-01,2.596255679940329686e-01,2.569730620138361288e-01,2.541498410687209608e-01,2.511192319464372047e-01,2.478519266210337524e-01,2.443271607882301077e-01
2.003730107459263943e-01,2.038418734823911616e-01,2.071732061685437054e-01,2.103464870393028652e-01,2.133429274745659854e-01,2.161458105276420349e-01,2.187408050408586879e-01,2.211162426254205116e-01,2.232633483138879160e-01,2.251764211668832449e-01,2.268529678774229008e-01,2.282937988798008355e-01,2.295030997856802035e-01,2.304884867697680750e-01,2.312610368272889072e-01,2.318352449935846271e-01,2.322287905153840870e-01,2.324618745118867125e-01,2.325556725385704848e-01,2.325289408686834203e-01,2.323902010348757319e-01,2.321153364475839753e-01,2.315306518934602820e-01,2.312606074546550150e-01,2.321195420375379848e-01,2.327671461764048155e-01,2.333173198787228120e-01,2.338067345060743374e-01,2.342515352077238489e-01,2.346585691625867609e-01,2.350294733637151579e-01,2.353627536159782208e-01,2.356550997824750082e-01,2.359023316613236554e-01,2.361001208974225496e-01,2.362445482018001586e-01,2.363325221419077804e-01,2.363620721380560730e-01,2.363325221419073918e-01,2.362445482017996867e-01,2.361001208974203014e-01,2.359023316613227395e-01,2.356550997824738980e-01,2.353627536159780265e-01,2.350294733637141031e-01,2.346585691625864001e-01,2.342515352077239321e-01,2.338067345060739766e-01,2.333173198787232006e-01,2.327671461764046767e-01,2.321195420375375129e-01,2.312606074546552926e-01,2.315306518934608371e-01,2.321153364475838921e-01,2.323902010348755376e-01,2.325289408686832815e-01,2.325556725385697909e-01,2.324618745118860463e-01,2.322287905153831156e-01,2.318352449935850712e-01,2.312610368272882133e-01,2.304884867697680195e-01,2.295030997856788157e-01,2.282937988798014739e-01,2.268529678774226233e-01,2.251764211668825233e-01,2.232633483138854180e-01,2.211162426254194291e-01,2.187408050408584104e-01,2.161458105276414798e-01,2.133429274745662629e-01,2.103464870393031427e-01,2.071732061685446213e-01,2.038418734823915224e-01,2.003730107459258669e-01
