nan,-5.000000000000000000e+00,-4.864864864864864913e+00,-4.729729729729729826e+00,-4.594594594594594739e+00,-4.459459459459459651e+00,-4.324324324324324564e+00,-4.189189189189189477e+00,-4.054054054054054390e+00,-3.918918918918918859e+00,-3.783783783783783772e+00,-3.648648648648648685e+00,-3.513513513513513153e+00,-3.378378378378378066e+00,-3.243243243243242979e+00,-3.108108108108107892e+00,-2.972972972972972805e+00,-2.837837837837837718e+00,-2.702702702702702631e+00,-2.567567567567567544e+00,-2.432432432432432456e+00,-2.297297297297297369e+00,-2.162162162162161838e+00,-2.027027027027026751e+00,-1.891891891891891664e+00,-1.756756756756756577e+00,-1.621621621621621490e+00,-1.486486486486486402e+00,-1.351351351351351315e+00,-1.216216216216215784e+00,-1.081081081081080697e+00,-9.459459459459456099e-01,-8.108108108108105228e-01,-6.756756756756754356e-01,-5.405405405405403485e-01,-4.054054054054052614e-01,-2.702702702702701743e-01,-1.351351351351350871e-01,0.000000000000000000e+00,1.351351351351350871e-01,2.702702702702701743e-01,4.054054054054052614e-01,5.405405405405412367e-01,6.756756756756763238e-01,8.108108108108114109e-01,9.459459459459464981e-01,1.081081081081081585e+00,1.216216216216216672e+00,1.351351351351351759e+00,1.486486486486486847e+00,1.621621621621621934e+00,1.756756756756757021e+00,1.891891891891892108e+00,2.027027027027027195e+00,2.162162162162162282e+00,2.297297297297297369e+00,2.432432432432432456e+00,2.567567567567568432e+00,2.702702702702703519e+00,2.837837837837838606e+00,2.972972972972973693e+00,3.108108108108108780e+00,3.243243243243243867e+00,3.378378378378378954e+00,3.513513513513514042e+00,3.648648648648649129e+00,3.783783783783784216e+00,3.918918918918919303e+00,4.054054054054054390e+00,4.189189189189189477e+00,4.324324324324324564e+00,4.459459459459459651e+00,4.594594594594594739e+00,4.729729729729729826e+00,4.864864864864864913e+00,5.000000000000000000e+00
5.636363636363636020e-01,1.117928578370797066e-01,1.095890763043133043e-01,1.076110050853295308e-01,1.058414121564784649e-01,1.042639594015043469e-01,1.028631910458294302e-01,1.016245168828367046e-01,1.005341912343599292e-01,9.957928849816014005e-02,9.874767604614578809e-02,9.802798515061039719e-02,9.740958053330536770e-02,9.688252905484497080e-02,9.643756799036595773e-02,9.606607327194174872e-02,9.576002801904245909e-02,9.551199162532110487e-02,9.531506962294705732e-02,9.516288450431509283e-02,9.504954764487573426e-02,9.496963243965547696e-02,9.491814873934228958e-02,9.489051864918705836e-02,9.488255373502164913e-02,9.489043366497673659e-02,9.491068630271608242e-02,9.494016925774234616e-02,9.497605289032882980e-02,9.501580476257573404e-02,9.505717552273103277e-02,9.509818620698302916e-02,9.513711694127235940e-02,9.517249702506416775e-02,9.520309637927000523e-02,9.522791834155033830e-02,9.524619379384953455e-02,9.525737660913327631e-02,9.526114040681087081e-02,9.525737660913320692e-02,9.524619379384922924e-02,9.522791834155007462e-02,9.520309637926975543e-02,9.517249702506437592e-02,9.513711694127216512e-02,9.509818620698264058e-02,9.505717552273162951e-02,9.501580476257603936e-02,9.497605289032842735e-02,9.494016925774226290e-02,9.491068630271623507e-02,9.489043366497694476e-02,9.488255373502166301e-02,9.489051864918664203e-02,9.491814873934217855e-02,9.496963243965547696e-02,9.504954764487587304e-02,9.516288450431530099e-02,9.531506962294694629e-02,9.551199162532124365e-02,9.576002801904234807e-02,9.606607327194180423e-02,9.643756799036615202e-02,9.688252905484483202e-02,9.740958053330547872e-02,9.802798515061045270e-02,9.874767604614598238e-02,9.957928849815969596e-02,1.005341912343599986e-01,1.016245168828370238e-01,1.028631910458292220e-01,1.042639594015041249e-01,1.058414121564784094e-01,1.076110050853296557e-01,1.095890763043134292e-01,1.117928578370797482e-01
5.699836199836199047e-01,1.221611932380570337e-01,1.192909520974531901e-01,1.166697993081500379e-01,1.142807582083687906e-01,1.121076124023037968e-01,1.101349104779261040e-01,1.083479645534050212e-01,1.067328435292259903e-01,1.052763618658536793e-01,1.039660646439887343e-01,1.027902095988334624e-01,1.017377467534982122e-01,1.007982962114874204e-01,9.996212460534964483e-02,9.922012063902270473e-02,9.856377010568229124e-02,9.798513071150401210e-02,9.747680698877883576e-02,9.703192553932374342e-02,9.664411081108709167e-02,9.630746157701453036e-02,9.601652825548261105e-02,9.576629118557444809e-02,9.555213994799553745e-02,9.536985380309517812e-02,9.521558330107510182e-02,9.508583310571060154e-02,9.497744606146170387e-02,9.488758852455717041e-02,9.481373697112858989e-02,9.475366588961964265e-02,9.470543696024712188e-02,9.466738952104772342e-02,9.463813231786757929e-02,9.461653653433682587e-02,9.460173009731320803e-02,9.459309325331125007e-02,9.459025541194776565e-02,9.459309325331123619e-02,9.460173009731312477e-02,9.461653653433632627e-02,9.463813231786762092e-02,9.466738952104769567e-02,9.470543696024680269e-02,9.475366588961908754e-02,9.481373697112867316e-02,9.488758852455732307e-02,9.497744606146213409e-02,9.508583310571053215e-02,9.521558330107519896e-02,9.536985380309538629e-02,9.555213994799599542e-02,9.576629118557454523e-02,9.601652825548248615e-02,9.630746157701465526e-02,9.664411081108702228e-02,9.703192553932393771e-02,9.747680698877907168e-02,9.798513071150422027e-02,9.856377010568198593e-02,9.922012063902288515e-02,9.996212460534963096e-02,1.007982962114875314e-01,1.017377467534989616e-01,1.027902095988339204e-01,1.039660646439887620e-01,1.052763618658538874e-01,1.067328435292264621e-01,1.083479645534053404e-01,1.101349104779263538e-01,1.121076124023044213e-01,1.142807582083683465e-01,1.166697993081501766e-01,1.192909520974533288e-01,1.221611932380566728e-01
5.763308763308763183e-01,1.343846602373567622e-01,1.308917617105238573e-01,1.276665296218292278e-01,1.246925813512949482e-01,1.219541542366475578e-01,1.194361241356695913e-01,1.171240173726228739e-01,1.150040168195864687e-01,1.130629628409558496e-01,1.112883497960859142e-01,1.096683187542449589e-01,1.081916470303212752e-01,1.068477351012139531e-01,1.056265914132413219e-01,1.045188155416175990e-01,1.035155801150547672e-01,1.026086118726444313e-01,1.017901721769217394e-01,1.010530372666920002e-01,1.003904784960947399e-01,9.979624277254543763e-02,9.926453337559788814e-02,9.878999131136372014e-02,9.836767733279769277e-02,9.799305473467082028e-02,9.766197301330281633e-02,9.737065246485981929e-02,9.711566978202536282e-02,9.689394469695040979e-02,9.670272770833882037e-02,9.653958892215296073e-02,9.640240802852131918e-02,9.628936543181454422e-02,9.619893454640221497e-02,9.612987526705697727e-02,9.608122862029067068e-02,9.605231260087616907e-02,9.604271919630619214e-02,9.605231260087637724e-02,9.608122862029082334e-02,9.612987526705699115e-02,9.619893454640186803e-02,9.628936543181450258e-02,9.640240802852113877e-02,9.653958892215301624e-02,9.670272770833833464e-02,9.689394469695047918e-02,9.711566978202570977e-02,9.737065246485972214e-02,9.766197301330270530e-02,9.799305473467082028e-02,9.836767733279799808e-02,9.878999131136353973e-02,9.926453337559763834e-02,9.979624277254560416e-02,1.003904784960946012e-01,1.010530372666918753e-01,1.017901721769219336e-01,1.026086118726440843e-01,1.035155801150548227e-01,1.045188155416175713e-01,1.056265914132414191e-01,1.068477351012138976e-01,1.081916470303217331e-01,1.096683187542451254e-01,1.112883497960864831e-01,1.130629628409562937e-01,1.150040168195865797e-01,1.171240173726230543e-01,1.194361241356694109e-01,1.219541542366479187e-01,1.246925813512950038e-01,1.276665296218285894e-01,1.308917617105241071e-01,1.343846602373567900e-01
5.826781326781326209e-01,1.479475628813950450e-01,1.438855298027825746e-01,1.401051139913333243e-01,1.365907833494373058e-01,1.333274880837208853e-01,1.303006901277742047e-01,1.274963859737530680e-01,1.249011234977175783e-01,1.225020133741850231e-01,1.202867356715536795e-01,1.182435422050144985e-01,1.163612552001310613e-01,1.146292627906445039e-01,1.130375118403774276e-01,1.115764985429020945e-01,1.102372572152446190e-01,1.090113476644525570e-01,1.078908414690085416e-01,1.068683074817009387e-01,1.059367968268262461e-01,1.050898276330618636e-01,1.043213697140304569e-01,1.036258293816727377e-01,1.029980345530249614e-01,1.024332202888807303e-01,1.019270148829675565e-01,1.014754266026381690e-01,1.010748311664773913e-01,1.007219600305766377e-01,1.004138895432960255e-01,1.001480310180477562e-01,9.992212176475036289e-02,9.973421711303032122e-02,9.958268345380430486e-02,9.946619232038006464e-02,9.938371552560908151e-02,9.933452136767957630e-02,9.931817191374349429e-02,9.933452136767907670e-02,9.938371552560923416e-02,9.946619232037962055e-02,9.958268345380441589e-02,9.973421711303048776e-02,9.992212176475022412e-02,1.001480310180478395e-01,1.004138895432958173e-01,1.007219600305766793e-01,1.010748311664774884e-01,1.014754266026380580e-01,1.019270148829675565e-01,1.024332202888806886e-01,1.029980345530251556e-01,1.036258293816726961e-01,1.043213697140304291e-01,1.050898276330615860e-01,1.059367968268262322e-01,1.068683074817010636e-01,1.078908414690089163e-01,1.090113476644523627e-01,1.102372572152452296e-01,1.115764985429015949e-01,1.130375118403778162e-01,1.146292627906444206e-01,1.163612552001308670e-01,1.182435422050146095e-01,1.202867356715536518e-01,1.225020133741852868e-01,1.249011234977172868e-01,1.274963859737530125e-01,1.303006901277738716e-01,1.333274880837208576e-01,1.365907833494377777e-01,1.401051139913331578e-01,1.438855298027829355e-01,1.479475628813951837e-01
5.890253890253890345e-01,1.624791047581211900e-01,1.579067374760261544e-01,1.536257249507977929e-01,1.496215597983390211e-01,1.458800888483659797e-01,1.423875503159302280e-01,1.391306047883928143e-01,1.360963604272876215e-01,1.332723928244481937e-01,1.306467599748861452e-01,1.282080128383155104e-01,1.259452019594655969e-01,1.238478806069643195e-01,1.219061048735377017e-01,1.201104311584112322e-01,1.184519114275472407e-01,1.169220866200140069e-01,1.155129785403147535e-01,1.142170805477676632e-01,1.130273473256436512e-01,1.119371839852369016e-01,1.109404347337339114e-01,1.100313713098836493e-01,1.092046813683138495e-01,1.084554569718029493e-01,1.077791833312049113e-01,1.071717279147280377e-01,1.066293300320753229e-01,1.061485909843937481e-01,1.057264648579196581e-01,1.053602500276419052e-01,1.050475814270253466e-01,1.047864236307587682e-01,1.045750647894924112e-01,1.044121114484495294e-01,1.042964842755479959e-01,1.042274147190823397e-01,1.042044426099804216e-01,1.042274147190819927e-01,1.042964842755481625e-01,1.044121114484495572e-01,1.045750647894927582e-01,1.047864236307590180e-01,1.050475814270253466e-01,1.053602500276424880e-01,1.057264648579198940e-01,1.061485909843939979e-01,1.066293300320751564e-01,1.071717279147284263e-01,1.077791833312050640e-01,1.084554569718027411e-01,1.092046813683138634e-01,1.100313713098841767e-01,1.109404347337338004e-01,1.119371839852370959e-01,1.130273473256433181e-01,1.142170805477676077e-01,1.155129785403149201e-01,1.169220866200143677e-01,1.184519114275476015e-01,1.201104311584112599e-01,1.219061048735374936e-01,1.238478806069643473e-01,1.259452019594657357e-01,1.282080128383154827e-01,1.306467599748861452e-01,1.332723928244484435e-01,1.360963604272878991e-01,1.391306047883927866e-01,1.423875503159302558e-01,1.458800888483661462e-01,1.496215597983387435e-01,1.536257249507977374e-01,1.579067374760262099e-01,1.624791047581209680e-01
5.953726453726453371e-01,1.776605148890009755e-01,1.726385598796809362e-01,1.679140133210635377e-01,1.634734932106564620e-01,1.593038577402325073e-01,1.553922472630510088e-01,1.517261207663250233e-01,1.482932870596297137e-01,1.450819309542715208e-01,1.420806347548580206e-01,1.392783954151954884e-01,1.366646377287594749e-01,1.342292239315578950e-01,1.319624600943136161e-01,1.298550996732910356e-01,1.278983445763597904e-01,1.260838440843063679e-01,1.244036919481936593e-01,1.228504219625487087e-01,1.214170022922504977e-01,1.200968288086570884e-01,1.188837176684287705e-01,1.177718973468960678e-01,1.167560003170775990e-01,1.158310545457606200e-01,1.149924749594950363e-01,1.142360550161166527e-01,1.135579585013989645e-01,1.129547116557590436e-01,1.124231957225195616e-01,1.119606399969755167e-01,1.115646154444359245e-01,1.112330289453432597e-01,1.109641182164735201e-01,1.107564474489522582e-01,1.106089036963005950e-01,1.105206940388251957e-01,1.104913435442919367e-01,1.105206940388252790e-01,1.106089036963007199e-01,1.107564474489523693e-01,1.109641182164733675e-01,1.112330289453431625e-01,1.115646154444360633e-01,1.119606399969755722e-01,1.124231957225197559e-01,1.129547116557590436e-01,1.135579585013992004e-01,1.142360550161171107e-01,1.149924749594951334e-01,1.158310545457603286e-01,1.167560003170782096e-01,1.177718973468965119e-01,1.188837176684286318e-01,1.200968288086572272e-01,1.214170022922507058e-01,1.228504219625490279e-01,1.244036919481938813e-01,1.260838440843073394e-01,1.278983445763602622e-01,1.298550996732914797e-01,1.319624600943133386e-01,1.342292239315580338e-01,1.366646377287596970e-01,1.392783954151955439e-01,1.420806347548581872e-01,1.450819309542716040e-01,1.482932870596296304e-01,1.517261207663250511e-01,1.553922472630511753e-01,1.593038577402326184e-01,1.634734932106566008e-01,1.679140133210635655e-01,1.726385598796808807e-01,1.776605148890010033e-01
6.017199017199017508e-01,1.931416537172576109e-01,1.877306976774725522e-01,1.826200693445491630e-01,1.777975514547396052e-01,1.732510696176869647e-01,1.689687364306478035e-01,1.649388909796833391e-01,1.611501337577299353e-01,1.575913571130139468e-01,1.542517714062936751e-01,1.511209271043046642e-01,1.481887330719448004e-01,1.454454713492153439e-01,1.428818087126543512e-01,1.404888053267083770e-01,1.382579207897196849e-01,1.361810178732510979e-01,1.342503642435714240e-01,1.324586324412772298e-01,1.307988983799775740e-01,1.292646386086463983e-01,1.278497265649813641e-01,1.265484280296138020e-01,1.253553959735048684e-01,1.242656649737209629e-01,1.232746453562129640e-01,1.223781172083470703e-01,1.215722243889485743e-01,1.208534686494593252e-01,1.202187039666432200e-01,1.196651311749733770e-01,1.191902929754556362e-01,1.187920693871180877e-01,1.184686736976279242e-01,1.182186489604844931e-01,1.180408650778243945e-01,1.179345165000193346e-01,1.178991205658558444e-01,1.179345165000193763e-01,1.180408650778242141e-01,1.182186489604845347e-01,1.184686736976276189e-01,1.187920693871183514e-01,1.191902929754557888e-01,1.196651311749734603e-01,1.202187039666433727e-01,1.208534686494595195e-01,1.215722243889484216e-01,1.223781172083473617e-01,1.232746453562130889e-01,1.242656649737209074e-01,1.253553959735049517e-01,1.265484280296137187e-01,1.278497265649813364e-01,1.292646386086465926e-01,1.307988983799778515e-01,1.324586324412772576e-01,1.342503642435718680e-01,1.361810178732506538e-01,1.382579207897197959e-01,1.404888053267084325e-01,1.428818087126543512e-01,1.454454713492153717e-01,1.481887330719448836e-01,1.511209271043046920e-01,1.542517714062938139e-01,1.575913571130139190e-01,1.611501337577296855e-01,1.649388909796834224e-01,1.689687364306476369e-01,1.732510696176868259e-01,1.777975514547394942e-01,1.826200693445488021e-01,1.877306976774724134e-01,1.931416537172574999e-01
6.080671580671580534e-01,2.086817838370329803e-01,2.029399604876899466e-01,1.974988148650652364e-01,1.923472855740901988e-01,1.874743743063777834e-01,1.828691898642788027e-01,1.785209885666898810e-01,1.744192109001108659e-01,1.705535143767501760e-01,1.669138026411544073e-01,1.634902509303111651e-01,1.602733280413485561e-01,1.572538149978949251e-01,1.544228206325691521e-01,1.517717943205806053e-01,1.492925361094952774e-01,1.469772044941899947e-01,1.448183220849900144e-01,1.428087794120470322e-01,1.409418371009955873e-01,1.392111266446031115e-01,1.376106499831775132e-01,1.361347780933846729e-01,1.347782487713971855e-01,1.335361637822130021e-01,1.324039855329101623e-01,1.313775334137057826e-01,1.304529799372080578e-01,1.296268467932045476e-01,1.288960009238969140e-01,1.282576507126701737e-01,1.277093423682774675e-01,1.272489565757655150e-01,1.268747054754941206e-01,1.265851300222012310e-01,1.263790977671727656e-01,1.262558010981047474e-01,1.262147559631840998e-01,1.262558010981046364e-01,1.263790977671726823e-01,1.265851300222015363e-01,1.268747054754941206e-01,1.272489565757659868e-01,1.277093423682774953e-01,1.282576507126703402e-01,1.288960009238968862e-01,1.296268467932044643e-01,1.304529799372079746e-01,1.313775334137056716e-01,1.324039855329104121e-01,1.335361637822129466e-01,1.347782487713966026e-01,1.361347780933847007e-01,1.376106499831775687e-01,1.392111266446030282e-01,1.409418371009954762e-01,1.428087794120470599e-01,1.448183220849897646e-01,1.469772044941899392e-01,1.492925361094953607e-01,1.517717943205807440e-01,1.544228206325693187e-01,1.572538149978950917e-01,1.602733280413486117e-01,1.634902509303111096e-01,1.669138026411542963e-01,1.705535143767501760e-01,1.744192109001108382e-01,1.785209885666891871e-01,1.828691898642787195e-01,1.874743743063774781e-01,1.923472855740898935e-01,1.974988148650653752e-01,2.029399604876898633e-01,2.086817838370330080e-01
6.144144144144143560e-01,2.240989161960147413e-01,2.180805467006386722e-01,2.123611775247515598e-01,2.069308578462425718e-01,2.017796372899412771e-01,1.968976080628517811e-01,1.922749445172127203e-01,1.879019398554142573e-01,1.837690398002270742e-01,1.798668731448901381e-01,1.761862791724480570e-01,1.727183319942433293e-01,1.694543619054287853e-01,1.663859738924083342e-01,1.635050634547214332e-01,1.608038299234751944e-01,1.582747874711816771e-01,1.559107740149857368e-01,1.537049582176484575e-01,1.516508447892974953e-01,1.497422782885454717e-01,1.479734456148006638e-01,1.463388773750778915e-01,1.448334482987596594e-01,1.434523768630457108e-01,1.421912242805463411e-01,1.410458929889227830e-01,1.400126247708446403e-01,1.390879986210172836e-01,1.382689284657401541e-01,1.375526608294538045e-01,1.369367725321323781e-01,1.364191684911494895e-01,1.359980796914282419e-01,1.356720613782696205e-01,1.354399915181945246e-01,1.353010695644142336e-01,1.352548155550997999e-01,1.353010695644139838e-01,1.354399915181945246e-01,1.356720613782698426e-01,1.359980796914283252e-01,1.364191684911493785e-01,1.369367725321324614e-01,1.375526608294539155e-01,1.382689284657404871e-01,1.390879986210171448e-01,1.400126247708447236e-01,1.410458929889226998e-01,1.421912242805462578e-01,1.434523768630454055e-01,1.448334482987599092e-01,1.463388773750780303e-01,1.479734456148005806e-01,1.497422782885453607e-01,1.516508447892976619e-01,1.537049582176482354e-01,1.559107740149858756e-01,1.582747874711815939e-01,1.608038299234749446e-01,1.635050634547217108e-01,1.663859738924084453e-01,1.694543619054291461e-01,1.727183319942433293e-01,1.761862791724480570e-01,1.798668731448899161e-01,1.837690398002270187e-01,1.879019398554145348e-01,1.922749445172129146e-01,1.968976080628513092e-01,2.017796372899402779e-01,2.069308578462421555e-01,2.123611775247513378e-01,2.180805467006386444e-01,2.240989161960143805e-01
