nan,-5.000000000000000000e+00,-4.795918367346938993e+00,-4.591836734693877986e+00,-4.387755102040816091e+00,-4.183673469387755084e+00,-3.979591836734694077e+00,-3.775510204081632626e+00,-3.571428571428571175e+00,-3.367346938775510168e+00,-3.163265306122449161e+00,-2.959183673469387710e+00,-2.755102040816326259e+00,-2.551020408163265252e+00,-2.346938775510204245e+00,-2.142857142857142794e+00,-1.938775510204081343e+00,-1.734693877551020336e+00,-1.530612244897959329e+00,-1.326530612244897878e+00,-1.122448979591836427e+00,-9.183673469387754196e-01,-7.142857142857144126e-01,-5.102040816326525174e-01,-3.061224489795915105e-01,-1.020408163265305035e-01,1.020408163265305035e-01,3.061224489795915105e-01,5.102040816326534056e-01,7.142857142857144126e-01,9.183673469387754196e-01,1.122448979591837315e+00,1.326530612244898322e+00,1.530612244897959329e+00,1.734693877551020336e+00,1.938775510204081343e+00,2.142857142857143238e+00,2.346938775510204245e+00,2.551020408163265252e+00,2.755102040816327147e+00,2.959183673469388154e+00,3.163265306122449161e+00,3.367346938775510168e+00,3.571428571428571175e+00,3.775510204081632182e+00,3.979591836734694965e+00,4.183673469387755972e+00,4.387755102040816979e+00,4.591836734693877986e+00,4.795918367346938993e+00,5.000000000000000000e+00
5.636363636363636020e-01,3.831780109611373497e-01,3.844326841655555382e-01,3.854792084215270531e-01,3.863424108011359603e-01,3.870450927782304040e-01,3.876080974760650610e-01,3.880503958781637008e-01,3.883891859477183184e-01,3.886399996195546436e-01,3.888168135678802262e-01,3.889321604907094443e-01,3.889972383786753918e-01,3.890220158521003890e-01,3.890153321614879811e-01,3.889849908621849650e-01,3.889378465047701461e-01,3.888798839401976792e-01,3.888162900336465944e-01,3.887515177239105890e-01,3.886893424649822126e-01,3.886329111512757395e-01,3.885847836647995379e-01,3.885469671971071293e-01,3.885209434961798269e-01,3.885076891724408288e-01,3.885076891724410508e-01,3.885209434961810482e-01,3.885469671971084615e-01,3.885847836647997600e-01,3.886329111512759615e-01,3.886893424649828788e-01,3.887515177239104780e-01,3.888162900336460392e-01,3.888798839401972351e-01,3.889378465047692579e-01,3.889849908621844099e-01,3.890153321614878701e-01,3.890220158521003890e-01,3.889972383786758359e-01,3.889321604907108876e-01,3.888168135678797821e-01,3.886399996195538664e-01,3.883891859477189845e-01,3.880503958781623686e-01,3.876080974760648390e-01,3.870450927782316253e-01,3.863424108011374036e-01,3.854792084215270531e-01,3.844326841655558713e-01,3.831780109611377938e-01
5.732220160791589025e-01,3.540346242150881340e-01,3.558102639376490295e-01,3.573585574257688302e-01,3.587024451735159047e-01,3.598633369298713802e-01,3.608611045978125098e-01,3.617140999286168057e-01,3.624391915874078940e-01,3.630518167637587501e-01,3.635660431356537714e-01,3.639946376229074021e-01,3.643491389589927909e-01,3.646399316503046162e-01,3.648763193707386110e-01,3.650665962536693288e-01,3.652181148946014311e-01,3.653373501694823222e-01,3.654299582113850198e-01,3.655008300781340536e-01,3.655541397915923474e-01,3.655933865421200357e-01,3.656214309345375835e-01,3.656405252103740455e-01,3.656523374196484211e-01,3.656579695383088691e-01,3.656579695383094242e-01,3.656523374196486431e-01,3.656405252103742676e-01,3.656214309345384716e-01,3.655933865421203688e-01,3.655541397915926805e-01,3.655008300781330544e-01,3.654299582113846867e-01,3.653373501694811010e-01,3.652181148946013201e-01,3.650665962536698839e-01,3.648763193707391661e-01,3.646399316503042831e-01,3.643491389589926799e-01,3.639946376229086233e-01,3.635660431356536604e-01,3.630518167637590832e-01,3.624391915874082271e-01,3.617140999286178049e-01,3.608611045978125098e-01,3.598633369298712692e-01,3.587024451735167929e-01,3.573585574257692743e-01,3.558102639376495846e-01,3.540346242150878009e-01
5.828076685219542030e-01,3.248074155881784941e-01,3.269711862728219565e-01,3.289009999077466828e-01,3.306171054326926262e-01,3.321386897866120957e-01,3.334838193138200957e-01,3.346694066723038263e-01,3.357111991702530496e-01,3.366237846206678874e-01,3.374206110885046295e-01,3.381140172591726722e-01,3.387152705432808775e-01,3.392346104224049919e-01,3.396812949154328631e-01,3.400636483923528131e-01,3.403891092753427161e-01,3.406642764424351322e-01,3.408949533865177628e-01,3.410861893836460990e-01,3.412423170919187676e-01,3.413669861393316962e-01,3.414631923693826066e-01,3.415333025007892820e-01,3.415790740261918090e-01,3.416016702276559736e-01,3.416016702276563066e-01,3.415790740261914760e-01,3.415333025007887269e-01,3.414631923693829396e-01,3.413669861393309191e-01,3.412423170919181015e-01,3.410861893836455438e-01,3.408949533865175407e-01,3.406642764424343550e-01,3.403891092753430492e-01,3.400636483923518139e-01,3.396812949154333072e-01,3.392346104224053249e-01,3.387152705432804334e-01,3.381140172591718951e-01,3.374206110885045184e-01,3.366237846206685536e-01,3.357111991702527165e-01,3.346694066723040484e-01,3.334838193138188744e-01,3.321386897866127619e-01,3.306171054326928482e-01,3.289009999077453505e-01,3.269711862728230667e-01,3.248074155881784941e-01
5.923933209647495035e-01,2.976949739268673900e-01,3.001282648106357032e-01,3.023297401112000626e-01,3.043167245114609676e-01,3.061058710853450382e-01,3.077130738528177645e-01,3.091534030532652189e-01,3.104410606372564052e-01,3.115893532845173119e-01,3.126106802306122256e-01,3.135165332774330071e-01,3.143175065335240825e-01,3.150233136483080454e-01,3.156428105456779987e-01,3.161840219095830573e-01,3.166541699150137168e-01,3.170597039239304582e-01,3.174063300722892444e-01,3.176990398590827658e-01,3.179421370103924227e-01,3.181392620316666475e-01,3.182934139811622876e-01,3.184069690989199675e-01,3.184816960109936312e-01,3.185187673008048614e-01,3.185187673008053055e-01,3.184816960109930761e-01,3.184069690989196344e-01,3.182934139811612884e-01,3.181392620316667585e-01,3.179421370103922007e-01,3.176990398590830988e-01,3.174063300722891334e-01,3.170597039239307913e-01,3.166541699150136058e-01,3.161840219095826132e-01,3.156428105456788868e-01,3.150233136483092666e-01,3.143175065335238605e-01,3.135165332774317859e-01,3.126106802306114485e-01,3.115893532845173119e-01,3.104410606372574044e-01,3.091534030532657740e-01,3.077130738528172094e-01,3.061058710853453713e-01,3.043167245114625219e-01,3.023297401112005067e-01,3.001282648106348150e-01,2.976949739268662798e-01
6.019789734075448040e-01,2.728012666309589385e-01,2.754006632328012127e-01,2.777764215458660146e-01,2.799430251479564369e-01,2.819145837902307106e-01,2.837047355255017944e-01,2.853265668707031244e-01,2.867925499872505668e-01,2.881144954203879172e-01,2.893035186788975865e-01,2.903700188175388774e-01,2.913236671698892222e-01,2.921734044388969442e-01,2.929274444621599027e-01,2.935932831093158724e-01,2.941777109254598566e-01,2.946868282960249941e-01,2.951260620675938418e-01,2.955001827102350376e-01,2.958133212472189300e-01,2.960689853055370468e-01,2.962700737553377595e-01,2.964188895083886832e-01,2.965171501362294793e-01,2.965659960491353608e-01,2.965659960491354719e-01,2.965171501362307005e-01,2.964188895083900155e-01,2.962700737553390917e-01,2.960689853055374909e-01,2.958133212472204843e-01,2.955001827102352596e-01,2.951260620675942858e-01,2.946868282960252161e-01,2.941777109254597455e-01,2.935932831093158724e-01,2.929274444621603468e-01,2.921734044388976104e-01,2.913236671698876679e-01,2.903700188175394326e-01,2.893035186788968094e-01,2.881144954203894715e-01,2.867925499872501227e-01,2.853265668707010150e-01,2.837047355255015724e-01,2.819145837902301555e-01,2.799430251479566589e-01,2.777764215458672359e-01,2.754006632328016568e-01,2.728012666309582723e-01
6.115646258503401045e-01,2.466667477924160412e-01,2.493094156311556064e-01,2.517433072956459794e-01,2.539801723624912633e-01,2.560315977944229715e-01,2.579089141195805013e-01,2.596231141099717421e-01,2.611847841830418071e-01,2.626040481602378573e-01,2.638905226054039099e-01,2.650532826989291380e-01,2.661008374496308670e-01,2.670411129793944793e-01,2.678814426129342285e-01,2.686285625486122264e-01,2.692886119609598783e-01,2.698671364798785888e-01,2.703690940963378031e-01,2.707988626533216481e-01,2.711602481888435445e-01,2.714564935022072412e-01,2.716902864132786366e-01,2.718637672765540358e-01,2.719785353971051478e-01,2.720356540745305640e-01,2.720356540745306750e-01,2.719785353971060360e-01,2.718637672765540358e-01,2.716902864132785256e-01,2.714564935022071301e-01,2.711602481888440996e-01,2.707988626533223142e-01,2.703690940963369149e-01,2.698671364798792549e-01,2.692886119609607665e-01,2.686285625486123374e-01,2.678814426129346726e-01,2.670411129793940352e-01,2.661008374496314222e-01,2.650532826989273616e-01,2.638905226054033548e-01,2.626040481602367471e-01,2.611847841830421402e-01,2.596231141099716311e-01,2.579089141195813895e-01,2.560315977944238597e-01,2.539801723624921514e-01,2.517433072956456463e-01,2.493094156311558285e-01,2.466667477924175955e-01
6.211502782931354050e-01,2.255000493708324560e-01,2.281458460450505044e-01,2.305973284866160711e-01,2.328640266393369185e-01,2.349554400147303435e-01,2.368809550255804863e-01,2.386497696037370719e-01,2.402708262812377482e-01,2.417527542390262019e-01,2.431038203237998463e-01,2.443318886698003789e-01,2.454443883126599113e-01,2.464482880235340234e-01,2.473500775040176070e-01,2.481557540489122138e-01,2.488708137910772278e-01,2.495002466784272954e-01,2.500485343890515022e-01,2.505196504587237083e-01,2.509170619706988514e-01,2.512437322363371139e-01,2.515021239742771808e-01,2.516942025734784094e-01,2.518214391007385089e-01,2.518848127856703201e-01,2.518848127856709862e-01,2.518214391007397301e-01,2.516942025734780763e-01,2.515021239742781800e-01,2.512437322363370029e-01,2.509170619706988514e-01,2.505196504587231532e-01,2.500485343890517242e-01,2.495002466784276285e-01,2.488708137910775609e-01,2.481557540489109925e-01,2.473500775040158306e-01,2.464482880235335793e-01,2.454443883126602444e-01,2.443318886698002679e-01,2.431038203238004014e-01,2.417527542390257578e-01,2.402708262812370821e-01,2.386497696037375160e-01,2.368809550255801533e-01,2.349554400147313427e-01,2.328640266393369185e-01,2.305973284866166262e-01,2.281458460450500603e-01,2.255000493708327891e-01
6.307359307359307055e-01,2.068614771056839219e-01,2.094660053224228768e-01,2.118909156171943087e-01,2.141439194559083825e-01,2.162327711853443413e-01,2.181652007615434430e-01,2.199488490634483595e-01,2.215912076925147245e-01,2.230995644370978859e-01,2.244809550221490424e-01,2.257421213415481409e-01,2.268894760582460535e-01,2.279290732356791249e-01,2.288665845151633960e-01,2.297072802629354094e-01,2.304560150646716155e-01,2.311172169337233351e-01,2.316948796133441180e-01,2.321925573855960767e-01,2.326133618447789875e-01,2.329599601467337022e-01,2.332345743040056263e-01,2.334389811580155349e-01,2.335745127218455952e-01,2.336420566494965545e-01,2.336420566494977757e-01,2.335745127218458173e-01,2.334389811580165341e-01,2.332345743040054042e-01,2.329599601467328140e-01,2.326133618447774332e-01,2.321925573855965208e-01,2.316948796133430077e-01,2.311172169337225579e-01,2.304560150646716155e-01,2.297072802629359645e-01,2.288665845151621747e-01,2.279290732356782367e-01,2.268894760582462755e-01,2.257421213415485850e-01,2.244809550221480432e-01,2.230995644370979969e-01,2.215912076925150576e-01,2.199488490634486926e-01,2.181652007615452193e-01,2.162327711853457846e-01,2.141439194559088266e-01,2.118909156171904229e-01,2.094660053224228768e-01,2.068614771056831447e-01
6.403215831787260059e-01,1.885625219226177984e-01,1.910696203334177889e-01,1.934129651749953993e-01,1.955987539742659598e-01,1.976332566487981612e-01,1.995227659313911772e-01,2.012735462970907108e-01,2.028917838237414006e-01,2.043835386686811972e-01,2.057547012567005895e-01,2.070109528180030800e-01,2.081577305658878219e-01,2.092001975428938731e-01,2.101432169750939716e-01,2.109913308430133583e-01,2.117487422932403662e-01,2.124193014668910306e-01,2.130064943017545565e-01,2.135134338674204990e-01,2.139428538113012923e-01,2.142971035238944166e-01,2.145781446704411177e-01,2.147875487805355199e-01,2.149264956354125511e-01,2.149957722430699825e-01,2.149957722430697604e-01,2.149264956354132172e-01,2.147875487805346317e-01,2.145781446704414508e-01,2.142971035238947497e-01,2.139428538113009592e-01,2.135134338674198329e-01,2.130064943017546675e-01,2.124193014668915858e-01,2.117487422932408103e-01,2.109913308430121370e-01,2.101432169750943046e-01,2.092001975428939842e-01,2.081577305658866006e-01,2.070109528180031910e-01,2.057547012567001454e-01,2.043835386686813083e-01,2.028917838237423998e-01,2.012735462970907108e-01,1.995227659313907331e-01,1.976332566487982723e-01,1.955987539742657377e-01,1.934129651749948442e-01,1.910696203334182330e-01,1.885625219226171323e-01
